 	qui	nella	casa	ha	la	luce	accesa	significa	che	ancora	stanno	svegli	non	sono	addormentati	</S>
e	0.232389	0.715063	0.0519395	0.000500854	1.46877e-05	4.58975e-06	2.05247e-05	3.03579e-06	2.25442e-06	1.02262e-06	8.32216e-07	2.71259e-06	7.31833e-06	2.19439e-06	9.03248e-06	3.87748e-05
t	0.999857	7.95478e-05	2.02503e-05	2.15395e-05	3.72836e-06	4.5141e-06	5.91152e-06	2.7744e-06	1.86095e-06	1.38421e-06	1.71433e-07	7.93801e-07	4.93145e-07	2.02046e-07	3.02961e-08	3.34013e-08
t	0.999468	0.000211196	4.81802e-05	1.20973e-05	7.43085e-06	4.9202e-05	7.13098e-06	2.32908e-05	5.55374e-06	2.82681e-05	6.22605e-06	3.09089e-05	1.07978e-06	2.60598e-06	2.53211e-06	9.67288e-05
ù	0.999657	0.0001966	7.60605e-05	1.14922e-05	6.35651e-06	1.08057e-05	7.89464e-06	1.93099e-06	5.93845e-06	6.863e-06	4.3715e-06	1.27337e-05	6.82591e-07	6.8891e-07	5.73803e-07	5.26249e-08
s	0.123228	0.826379	0.0475946	0.00224131	0.000111731	4.68131e-05	4.78039e-05	4.69117e-05	2.16114e-05	1.40505e-06	1.25451e-05	2.85619e-06	1.76971e-07	1.74266e-05	1.99108e-06	0.000245368
t	0.933967	0.0474794	0.0150276	0.00256992	0.000256421	0.000181434	0.000181189	1.44815e-05	1.36321e-05	3.19856e-05	4.87157e-06	0.000244362	1.87219e-06	6.34323e-07	5.26375e-06	1.95545e-05
o	0.843594	0.0803949	0.0318789	0.0212994	0.0144701	0.000988426	0.00161602	0.00329701	0.000249263	4.23871e-05	0.000104152	0.000334757	2.34079e-05	3.09643e-05	0.00138804	0.000288514
s	0.0167837	0.460942	0.497242	0.0164441	0.00252759	0.00140603	0.00206375	8.93837e-06	0.000310701	0.000262582	0.000103504	0.00188186	1.77522e-05	1.55402e-06	3.10847e-06	6.73962e-08
p	0.00932499	0.453434	0.190502	0.0574254	0.0161162	0.00660729	0.0173525	0.00134858	0.00506506	0.0137168	0.0121357	0.209666	0.000603122	0.000904727	0.000336839	0.00546145
ì	0.0844254	0.0998427	0.150904	0.110382	0.104258	0.0374203	0.0605259	0.0204114	0.0170434	0.0142114	0.059352	0.194521	0.0119649	0.00613878	0.0146369	0.0139612
t	0.000694179	0.182625	0.452563	0.325599	0.0122599	0.0011441	0.0158864	0.000115153	0.00060864	0.000542353	0.000155389	0.00761702	9.24984e-05	1.83906e-05	5.76561e-05	2.17999e-05
i	0.00264464	0.255004	0.606571	0.08242	0.011817	0.0154743	0.012905	0.000265066	0.00141087	0.00226855	0.000644514	0.00843127	3.72837e-05	6.31436e-06	3.06839e-05	6.93409e-05
è	0.000391797	0.00972897	0.119202	0.635509	0.119571	0.0336217	0.0407229	0.000942768	0.00582701	0.00350375	0.00502773	0.0242263	0.00154182	6.5245e-05	0.000113427	4.207e-06
c	0.000759815	0.00234881	0.0240407	0.77462	0.0809899	0.0455462	0.0126166	0.000338502	0.000806733	0.0023903	0.00066983	0.0541626	0.000305163	1.03801e-05	0.00032086	7.40705e-05
h	0.000798834	0.018235	0.0404632	0.702471	0.142315	0.020864	0.0430165	0.000856974	0.00481969	0.00304102	0.00247931	0.0202331	9.67076e-05	9.64033e-05	0.00013658	7.61692e-05
i	5.78656e-05	0.00847262	0.036723	0.845912	0.0839674	0.0067033	0.0132612	0.00201486	0.00109776	0.000182456	0.000356198	0.000636153	9.8551e-05	6.40187e-05	4.03519e-05	0.000412037
o	0.000178162	0.000350906	0.00107168	0.0321876	0.14687	0.688132	0.0301299	0.000480376	0.00478301	0.0109652	0.0142538	0.0699114	0.000185344	7.14304e-05	8.1457e-05	0.000348033
l	8.70052e-05	0.000741435	0.000775358	0.0152811	0.454136	0.373057	0.0455946	0.00192537	0.00579396	0.00801439	0.00705011	0.0867317	0.000293186	0.000168677	0.000226147	0.00012376
ù	0.000294127	0.00242863	0.00158329	0.0128635	0.589824	0.154633	0.0336924	0.016976	0.0202306	0.0111358	0.0476002	0.0892674	0.00173205	0.0107111	0.00289648	0.00413165
s	6.3213e-05	0.00226737	0.00177186	0.433122	0.460229	0.0404405	0.0386935	0.0162482	0.000933577	6.27108e-05	0.000184038	0.000482507	0.000132315	0.000334434	0.000326371	0.00470845
t	0.000233413	0.00183262	0.00111291	0.0276153	0.207665	0.488714	0.135905	0.00324406	0.0274252	0.0304428	0.0123334	0.0616674	0.000771589	0.000264668	0.000468757	0.000304666
r	8.10449e-05	0.000670726	0.000442679	0.00704147	0.0734418	0.0161985	0.00907592	0.63715	0.0103496	0.000849635	0.0059258	0.000932877	0.000756151	0.00840394	0.0300325	0.198648
o	0.000930774	0.00297504	0.00788492	0.0281178	0.054045	0.112028	0.111506	0.186788	0.0781277	0.0362184	0.017789	0.0199276	0.0270646	0.00599061	0.259946	0.0506599
a	5.20102e-05	0.000110249	0.000160795	0.00160259	0.0270794	0.674875	0.133589	0.0098605	0.0508814	0.033853	0.0455823	0.0168059	0.0034211	0.00110205	0.000504818	0.000520114
n	2.9864e-05	0.000104911	8.38798e-05	0.000251717	0.0111928	0.645849	0.246532	0.00318596	0.0133684	0.00892513	0.0224363	0.047532	0.000176722	7.93347e-05	9.77159e-05	0.000155
a	0.000159477	0.00100511	0.000485359	0.00119742	0.0584928	0.496172	0.139323	0.0403013	0.0464405	0.00961202	0.161369	0.0187212	0.00231753	0.0135907	0.00352396	0.00728838
m	7.93256e-06	3.69474e-05	3.99968e-05	0.00022885	0.0105879	0.275803	0.417286	0.112643	0.0389866	0.0170971	0.0635675	0.0533464	0.00616663	0.00115021	0.000340087	0.00271091
m	0.000205014	0.00159419	0.000678332	0.00116635	0.0257309	0.368799	0.232071	0.0315825	0.0395981	0.0239177	0.145024	0.10237	0.00225933	0.00820692	0.0036441	0.0131525
è	7.3143e-05	0.000165461	0.000146764	0.000778323	0.0237473	0.24073	0.0797214	0.25206	0.0244955	0.0116226	0.0734867	0.0209721	0.0106131	0.00776042	0.00472881	0.248898
n	0.000876806	0.0166596	0.00492324	0.00871555	0.0072178	0.0246224	0.695626	0.138849	0.0280437	0.00739322	0.00457021	0.0408009	0.00564413	0.00362012	0.00889077	0.00354574
o	0.000434834	0.00390504	0.00164415	0.00247665	0.0121421	0.185427	0.303226	0.0704422	0.300222	0.0552336	0.0532808	0.00372081	0.00192307	0.00213018	0.00267897	0.00111237
s	1.63194e-05	2.12857e-05	2.35208e-05	5.42387e-05	0.000934744	0.0652003	0.337735	0.236549	0.211304	0.0576705	0.064115	0.0203201	0.00490078	0.000274841	0.000719203	0.000161158
i	6.78101e-05	0.000858941	0.000394831	0.000651449	0.00353011	0.0387815	0.152569	0.175069	0.241529	0.0426728	0.247474	0.00704284	0.0110659	0.0423001	0.00441841	0.0315744
g	8.21312e-06	1.76956e-05	1.56593e-05	2.65918e-05	0.000288404	0.0160793	0.151263	0.40002	0.160205	0.0518712	0.181807	0.0278203	0.00555308	0.00121677	0.000815285	0.00299178
n	0.000141927	0.00125912	0.000518231	0.000589298	0.00218239	0.00886777	0.0868399	0.113921	0.221038	0.0299446	0.473634	0.0116136	0.00363839	0.0256063	0.00430526	0.0159012
i	5.03182e-05	0.000114822	6.15935e-05	0.000135648	0.00367574	0.0337043	0.0187466	0.485597	0.0488957	0.0189993	0.0465246	0.00199817	0.0206688	0.0124032	0.0162622	0.292162
f	1.64631e-05	5.52321e-05	3.75875e-05	5.00754e-05	0.000285802	0.00409594	0.0404339	0.525031	0.16382	0.0417495	0.16173	0.00971831	0.00889659	0.00624801	0.00433241	0.0334996
i	8.8654e-05	0.000225986	0.000128584	0.000133928	0.000531085	0.00741479	0.0681394	0.149516	0.250072	0.0671956	0.405181	0.0245356	0.00250825	0.0048048	0.00822588	0.0112984
k	2.16505e-05	3.28279e-05	3.01338e-05	4.10694e-05	0.000191022	0.00419763	0.0473786	0.340973	0.220051	0.0885429	0.212795	0.0206903	0.0194245	0.00334637	0.00268762	0.0395966
è	0.00061776	0.00146333	0.000816366	0.000721901	0.00139715	0.00672056	0.0564597	0.0517507	0.238461	0.0723478	0.44891	0.0698993	0.0025556	0.011916	0.0242931	0.0116703
