 	se	vieni	alle	sette	sto	ancora	cucinando	</S>
a	0.966647	0.00766125	0.00622011	0.00200208	0.00308176	0.00214146	0.00236352	0.00988282
n	0.70773	0.258782	0.0257192	0.00143233	0.00264885	0.00332244	0.000352667	1.24765e-05
è	0.0205888	0.0124873	0.808128	0.00724615	0.122807	0.0205787	0.00151554	0.00664823
r	0.00439566	0.00549425	0.892112	0.00230365	0.0946333	0.000355588	1.31959e-05	0.000692664
k	0.0394636	0.491485	0.421074	0.0364667	0.0077222	0.00253163	0.000764517	0.000492603
e	0.000701062	0.00266294	0.568996	0.00141077	0.401834	0.000136268	0.00371967	0.0205385
s	0.00403968	0.138548	0.611467	0.241751	0.00196041	0.00187811	0.000355068	8.77374e-07
e	0.00366255	0.0572083	0.829161	0.0147038	0.058164	0.0058751	0.0063732	0.0248522
s	0.0021814	0.0273629	0.806718	0.155972	0.00395928	0.00191763	0.00176442	0.000124058
e	0.00200099	0.0277315	0.804353	0.0269143	0.0762855	0.00757002	0.0115281	0.0436162
s	0.00375316	0.0459547	0.426159	0.466955	0.0278005	0.0119947	0.0144422	0.00294033
e	0.00295801	0.121161	0.453348	0.0779027	0.20657	0.0247968	0.0315515	0.0817122
t	0.00403739	0.233752	0.113132	0.357669	0.116193	0.052136	0.0887019	0.0343789
t	0.00072607	0.20935	0.132302	0.150735	0.314333	0.024869	0.083015	0.08467
à	0.00768874	0.368481	0.0451408	0.0747388	0.00882084	0.0360187	0.184654	0.274458
s	0.000384147	0.0172584	0.0165373	0.00230507	0.898763	0.0107602	0.0455963	0.00839595
t	0.00186998	0.0703709	0.0384936	0.00671832	0.737695	0.049049	0.0830261	0.0127772
e	2.23996e-05	0.00431906	0.0161823	0.000850144	0.0721101	0.00099679	0.198439	0.70708
a	0.00100852	0.0284039	0.00291837	0.0102141	0.058128	0.544781	0.303137	0.0514096
n	0.00101646	0.000913188	0.00270431	0.000220148	0.0569337	0.778416	0.111878	0.0479185
k	0.00147213	0.00561733	0.0130257	0.00115488	0.0312781	0.0910253	0.379825	0.476602
ò	0.00022683	0.00811185	0.00199684	0.000988998	0.00217243	0.00782605	0.0824638	0.896213
r	0.000132215	0.000154624	0.0183919	4.31206e-05	0.0806559	0.00470721	0.0788249	0.81709
a	0.000585327	0.000940762	0.00317692	0.000129606	0.0329301	0.472407	0.430686	0.0591441
m	0.000457202	0.0014322	0.000379608	0.00057365	0.000255033	0.273989	0.661361	0.061553
a	0.00127002	0.000783064	0.0109232	0.000219696	0.00572142	0.0106183	0.209744	0.76072
r	0.000393111	0.000658976	0.000351228	0.000121454	4.3292e-05	0.0488752	0.540256	0.409301
è	0.000198741	0.000297125	0.00104647	3.9167e-05	0.000395843	0.0119	0.367948	0.618174
o	0.000295549	0.000282255	0.00491819	4.67276e-05	0.00433281	0.0118772	0.552325	0.425922
</S>	0.00147394	0.00262168	0.00256577	0.000462182	0.00124196	0.0213212	0.406722	0.563592
