 	dove	aveva	per	stare	non	aveva	</S>
p	0.962004	0.00937013	0.0100949	0.00010032	0.00060883	0.00713905	0.0106832
u	0.942611	0.042658	0.0138053	0.000327229	6.58074e-05	0.000283916	0.000248493
ì	0.258243	0.720602	0.0179699	0.00191763	0.00125481	5.97035e-06	6.68676e-06
c	0.247642	0.700159	0.0484182	0.000623147	0.00122593	0.0015025	0.00042924
h	0.141207	0.5937	0.226804	0.00920737	0.00326809	0.0249717	0.000841091
e	0.155584	0.828385	0.00604106	0.00158573	0.00085402	0.00304847	0.00450123
n	0.0046463	0.0112772	0.876407	0.10096	0.00529091	5.14983e-05	0.00136729
a	0.00241415	0.00850076	0.756729	0.150301	0.0209387	0.0165442	0.0445716
s	0.00029259	0.00606381	0.36626	0.53682	0.0869126	0.000472954	0.00317852
t	0.00206153	0.00664134	0.36638	0.505582	0.0490413	0.0310219	0.0392713
a	0.00127375	0.00281338	0.238299	0.279108	0.0719185	0.151541	0.255047
s	0.000657919	0.00258989	0.0981675	0.754766	0.0619099	0.00689479	0.0750144
ì	0.0171893	0.036979	0.192896	0.382357	0.0387323	0.185875	0.145971
e	0.00138553	0.00155944	0.00480302	0.00331925	0.000287549	0.689732	0.298913
n	0.0302174	0.00749047	0.0626655	0.725398	0.151289	0.00489594	0.0180431
ì	0.00943129	0.0170177	0.0323587	0.409624	0.0235864	0.358192	0.149789
c	0.000175943	0.000342421	0.000188866	0.000544164	0.000628993	0.937695	0.0604249
h	0.0146764	0.0627482	0.0246599	0.0881524	0.0749002	0.723298	0.0115653
e	0.0074758	0.00382753	0.0116962	0.0280241	0.029207	0.596605	0.323164
</S>	0.00543912	0.00364842	0.0186968	0.0705999	0.274706	0.150258	0.476651
