 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.986146	0.0117256	0.001968	3.42979e-05	1.5484e-06	1.94012e-05	1.42865e-06	1.43746e-06	0.000102012
a	0.600459	0.207799	0.172484	0.00216514	0.00129064	0.0126523	9.39301e-05	0.000118238	0.00293782
ì	0.365587	0.565106	0.0578535	0.00999241	0.000144253	0.00122053	5.20264e-05	3.42004e-05	1.01345e-05
s	0.012179	0.982813	0.00425935	0.000677431	3.18319e-05	1.96919e-05	7.58215e-07	1.05696e-05	7.84076e-06
s	0.0264022	0.903059	0.0626783	0.00667275	0.000830105	0.000212245	1.07152e-05	9.66469e-05	3.75808e-05
e	0.00818664	0.648636	0.0984397	0.0225112	0.180157	0.0107042	0.00061678	0.00234917	0.0284002
r	0.0342521	0.0028225	0.853038	0.107302	0.000332776	0.00161145	0.000572981	3.92388e-05	2.90113e-05
e	0.0207392	0.333025	0.397192	0.158475	0.0636439	0.0121142	0.00377265	0.00125361	0.00978462
k	0.00655613	0.000934883	0.797496	0.18641	0.00343353	0.0035138	0.000887893	2.71247e-05	0.000740762
a	0.00418569	0.0459059	0.508017	0.147792	0.207682	0.0559135	0.00943906	0.00225051	0.018815
e	0.00264437	0.000551357	0.396485	0.526681	0.0512999	0.0120424	0.00357775	0.000102317	0.0066161
s	0.00253637	0.00521186	0.0633013	0.617209	0.25887	0.0415187	0.00714417	0.000805027	0.00340265
ò	0.0024386	0.00348005	0.0350405	0.0481915	0.676071	0.161131	0.0386192	0.00176407	0.0332639
z	0.000169347	0.0361778	0.00561428	0.00421848	0.90529	0.0284356	0.000365266	0.00139706	0.0183318
i	0.00640066	0.0847497	0.0776384	0.117521	0.459576	0.106658	0.0469565	0.0900978	0.0104021
k	0.00112784	5.52926e-05	0.00714956	0.140282	0.0295877	0.355374	0.433363	0.00432635	0.0287334
à	0.00208045	0.00942614	0.00407679	0.00403151	0.554938	0.217771	0.158546	0.0105903	0.03854
i	0.000270154	0.0356576	0.00117682	0.00141009	0.437031	0.459001	0.00663746	0.010616	0.0481999
o	0.00323827	0.000822988	0.003953	0.00487205	0.00146198	0.0959518	0.730211	0.140407	0.0190825
b	0.00103868	0.00326052	0.00139505	0.00173896	0.0122416	0.17299	0.55392	0.2093	0.044116
à	0.0015475	0.00289431	0.00305113	0.00145358	0.0287056	0.132008	0.570698	0.0598042	0.199837
g	0.000214126	0.0962945	0.000489244	0.000156686	0.0152306	0.0925309	0.0091327	0.659808	0.126143
n	0.00077624	0.0748053	0.00141365	0.00034135	0.0125009	0.00987452	0.0209153	0.870587	0.00878531
o	2.43108e-05	0.00394057	0.000137238	1.84761e-05	0.0521496	0.056048	0.00251266	0.0358535	0.849316
</S>	0.000513636	2.22229e-05	0.000552267	0.000859733	8.5709e-05	0.0113106	0.0734817	0.0449134	0.868261
