 	qui	ancora	stanno	con	la	luce	accesa	e	stanno	svegli	</S>
e	0.941405	0.0578685	0.000439417	0.0001985	7.96874e-06	6.42874e-06	7.27318e-06	5.75176e-06	3.34956e-06	8.08406e-06	4.99727e-05
t	0.94477	0.0531824	0.00129738	0.000362592	7.87664e-05	0.000163056	5.99178e-05	2.30337e-05	2.99639e-05	3.22456e-05	1.01674e-06
t	0.976056	0.0119878	0.00439641	0.000586172	0.000399061	0.00250336	0.000353415	0.000123733	0.000156119	8.76756e-05	0.00334991
ù	0.99902	0.000199411	0.000262165	0.000118415	0.000102074	9.27461e-05	0.00010243	3.91662e-05	4.97671e-05	1.27783e-05	7.81977e-07
a	0.404312	0.165566	0.176035	0.138034	0.0214308	0.00570322	0.00779323	0.00556577	0.00795259	0.000180721	0.0674266
n	0.00210253	0.677245	0.317628	0.00184848	0.000207243	0.000785473	8.52975e-05	7.23986e-06	1.39342e-05	6.14248e-05	1.54339e-05
k	0.0143466	0.406916	0.35216	0.0722869	0.0466352	0.0325571	0.0357212	0.00853714	0.0152525	0.0070212	0.00856617
ò	0.0464146	0.0290634	0.276951	0.189968	0.235804	0.0279561	0.0743093	0.0517577	0.0261733	0.0238767	0.0177269
r	0.000534467	0.20873	0.455856	0.316523	0.0107534	0.00072008	0.00305134	0.000281349	0.00027361	0.00313819	0.000137945
a	0.00124586	0.544088	0.433012	0.017741	0.00117274	0.00164539	0.000634425	2.18086e-05	1.82404e-05	0.000331711	8.82785e-05
s	0.000445077	0.101695	0.56118	0.234355	0.0455868	0.0122074	0.0231738	0.00227301	0.00105297	0.0180178	1.29477e-05
t	9.94205e-05	0.0330646	0.581765	0.187643	0.0986849	0.0231038	0.0421681	0.00575733	0.00271997	0.0177716	0.00722225
è	0.000647368	0.0135606	0.0748068	0.356497	0.23606	0.0217282	0.054998	0.0346846	0.00686686	0.158123	0.0420285
o	2.53517e-05	0.0179259	0.449809	0.493332	0.0208266	0.000433344	0.00212442	0.00107406	0.000445216	0.00210526	0.0118982
