 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
m	0.0224405	0.623352	0.353832	0.000111424	3.62333e-05	1.4038e-05	3.46938e-05	3.31894e-06	3.60437e-05	0.000139947
ò	0.997078	0.00241822	0.000401425	3.13502e-05	4.99506e-05	6.05537e-06	7.35311e-06	2.90365e-06	1.48608e-06	2.98316e-06
t	0.980661	0.0167031	0.00260311	6.49038e-06	1.7282e-05	1.32787e-06	2.37878e-06	1.0487e-06	6.54891e-07	3.80029e-06
t	0.975967	0.0171604	0.00662241	9.24365e-05	4.75289e-05	6.98446e-05	2.12398e-06	4.34449e-07	3.21956e-05	5.91976e-06
i	0.997264	0.0024303	0.000297726	7.84769e-07	3.94438e-06	1.38309e-07	1.00127e-06	5.68486e-08	1.75716e-06	7.26394e-07
ì	0.124809	0.804669	0.0674059	0.00151179	7.56894e-05	0.00149307	4.82043e-06	2.72565e-05	3.21248e-06	7.58907e-07
r	0.0242769	0.550158	0.424109	0.000255308	0.000448238	0.000646594	2.98886e-05	2.67526e-06	6.13449e-05	1.17615e-05
t	0.0278063	0.862862	0.107364	0.000631613	0.000882511	0.000343403	9.77145e-06	5.36536e-06	8.60479e-05	8.88696e-06
e	0.481442	0.403254	0.0681816	0.00215878	0.0103096	0.000187705	0.0045313	0.000174079	0.0172116	0.0125497
è	0.000684165	0.112636	0.839302	0.0386102	0.000518102	0.00789072	8.80598e-05	0.000223854	4.00175e-05	7.24661e-06
t	0.000761159	0.01559	0.978993	0.00312264	0.000763243	0.000631757	5.36741e-05	3.16572e-06	6.22447e-05	1.88619e-05
t	0.00904019	0.449453	0.515931	0.0111548	0.0118181	0.00181679	0.000203085	0.000110806	0.000434398	3.80798e-05
a	0.0302384	0.443519	0.0687698	0.0139744	0.11075	0.00219779	0.0439506	0.00248332	0.156105	0.128011
s	7.75327e-05	0.00323435	0.122511	0.791238	0.0104032	0.0674542	0.00154399	0.00259915	0.000652389	0.000286692
e	0.00161479	0.0279657	0.163017	0.562865	0.146022	0.0349981	0.0084815	0.0229933	0.00659361	0.0254492
o	1.02386e-05	0.000160606	0.00971782	0.963014	0.00224691	0.015812	0.00115288	0.00294887	0.00143931	0.00349707
G	0.000214653	0.000692249	0.00327026	0.838588	0.122893	0.0258555	0.00159097	0.00344779	0.00136096	0.00208637
i	0.000382026	0.000662859	0.000392318	0.868014	0.107791	0.00490817	0.00231516	0.0106105	0.00101749	0.00390688
u	2.26753e-05	7.66323e-05	0.000599372	0.863927	0.0318213	0.0695253	0.00571484	0.0100478	0.00675181	0.0115134
v	0.000383614	0.000628028	0.000504642	0.144103	0.759036	0.0791801	0.00479268	0.00720664	0.00247103	0.00169416
à	0.000927223	0.00104527	0.00122506	0.765105	0.161405	0.0201816	0.00956486	0.0226678	0.00578341	0.0120948
n	0.0104728	0.0805339	0.398053	0.025915	0.283385	0.00282114	0.133103	0.00104894	0.0428862	0.0217821
n	0.00913317	0.0072643	0.00554995	0.0988211	0.784796	0.0763864	0.00387449	0.00117093	0.0123617	0.000642436
i	0.00189299	0.00336542	0.00117599	0.00217134	0.287077	0.00151639	0.133389	0.00676847	0.423149	0.139494
e	2.42339e-05	7.32548e-05	0.000321644	0.24525	0.155428	0.465281	0.0183567	0.0397912	0.0193073	0.0561671
A	0.000105364	0.000156886	0.000255432	0.0890045	0.67311	0.224663	0.00446556	0.00433354	0.000969338	0.00293705
n	0.000243657	0.000457908	0.00152532	0.0026001	0.692656	0.26231	0.0354808	0.0010546	0.00346966	0.0002021
n	0.00602	0.00810231	0.00232129	0.0345234	0.750367	0.163831	0.0181373	0.00681457	0.0093668	0.000516879
a	0.00193834	0.00240536	0.000288194	0.00445488	0.270418	0.000597789	0.168323	0.0152621	0.37879	0.157523
a	2.02173e-05	4.89414e-05	0.000129088	0.0705425	0.0842726	0.499622	0.0478864	0.127718	0.044646	0.125114
n	0.000246446	0.000356663	0.00030939	0.00999261	0.379606	0.50472	0.0350765	0.0558228	0.00693737	0.0069328
k	0.00157165	0.00221697	0.000298785	0.0437195	0.298855	0.0840185	0.130058	0.317072	0.0359855	0.086204
ò	0.000398271	0.000268172	6.98814e-05	0.0965163	0.0795567	0.034455	0.0259392	0.135541	0.0881327	0.539122
r	0.0109399	0.0164423	0.00342008	0.000312189	0.347046	0.00429334	0.170687	0.00348795	0.408202	0.0351687
a	0.00083782	0.000669862	0.000348378	0.00178001	0.778783	0.154035	0.0208527	0.0101255	0.0291909	0.0033772
ì	1.75941e-05	2.72413e-05	6.10911e-05	0.0160927	0.0102604	0.542349	0.0323522	0.3068	0.0533137	0.0387261
c	0.000539814	0.000713146	0.00208156	0.0001837	0.0464719	0.344365	0.385234	0.10059	0.116024	0.0037972
h	0.0216327	0.019046	0.00266847	0.00296668	0.191576	0.088403	0.451925	0.113784	0.0979254	0.0100731
e	0.00112066	0.00155677	0.00120651	0.000969134	0.0509022	0.0660477	0.107351	0.0470698	0.605296	0.118481
n	0.000354214	0.000481155	0.000495346	0.00193017	0.0159775	0.135814	0.0254943	0.514905	0.141951	0.162598
a	0.00332715	0.00392654	0.000511274	0.00435376	0.0112948	0.0221901	0.0730277	0.60726	0.097973	0.176136
m	1.56336e-05	2.19303e-05	2.9571e-05	0.00049891	0.000477202	0.0315405	0.00888155	0.308489	0.38644	0.263606
a	0.00267384	0.00277301	0.000466673	0.00132116	0.00961059	0.0109568	0.0428607	0.451773	0.210623	0.266941
