 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.175627	0.800244	0.0234525	0.000516798	6.80615e-06	2.23996e-05	1.21094e-06	1.43226e-06	3.78107e-06	5.33306e-06	1.83289e-05	0.000100501
j	0.17895	0.810543	0.00819384	0.00164566	1.32596e-05	0.000329234	1.58213e-06	1.10112e-05	6.29623e-05	0.000169548	7.36233e-05	6.02282e-06
i	0.266318	0.552153	0.0727385	0.0504494	0.00911779	0.0177702	0.00208403	0.00293052	0.00265224	0.00175933	0.00257924	0.0194476
n	0.160046	0.830476	0.00590811	0.00276332	9.62745e-05	0.000653512	9.09521e-06	6.3901e-06	1.10037e-05	2.68663e-05	2.6499e-06	6.21504e-07
è	0.0791268	0.512716	0.153775	0.122306	0.0120579	0.061137	0.00629908	0.00500683	0.00428698	0.00340034	0.00534288	0.0345445
k	0.062824	0.758208	0.137324	0.0388773	1.5869e-05	0.000560847	1.51726e-05	0.000308406	0.000754882	0.000530563	8.07062e-05	0.000499985
a	0.0539476	0.89496	0.0444607	0.00653219	4.46683e-06	5.52845e-05	2.40341e-07	2.40937e-07	1.72174e-06	5.83822e-06	1.06944e-05	2.12023e-05
è	0.052408	0.457091	0.377511	0.0962148	0.00684846	0.00819251	0.000319539	0.000157074	0.000286865	0.000845935	5.61922e-05	6.93695e-05
n	0.000952191	0.116449	0.845459	0.0363905	6.35961e-05	0.000631679	2.78383e-06	9.07585e-07	1.75921e-06	7.24928e-06	1.38699e-05	2.78954e-05
e	0.00169189	0.0793492	0.680069	0.236384	0.000452438	0.00167483	2.19197e-05	1.19121e-05	2.81638e-05	7.089e-05	0.000150445	9.49904e-05
k	0.00113683	0.0524088	0.373569	0.543918	0.0115421	0.0138773	0.000307628	0.000338471	0.00104733	0.00140181	0.000225065	0.00022783
a	0.00242592	0.00916904	0.0426293	0.739972	0.0533987	0.0530102	0.0416829	0.0172608	0.00590191	0.00421347	0.00506787	0.0252682
p	0.00047853	0.0181714	0.109066	0.765003	0.0425078	0.0297507	0.00520388	0.00548196	0.00523724	0.00440354	0.00366591	0.0110297
à	0.000812195	0.00481035	0.0368646	0.814953	0.036993	0.0305192	0.0246058	0.0165477	0.00441477	0.00292778	0.00301145	0.0235403
c	0.000216419	0.00772949	0.30297	0.672955	0.000145535	0.00187334	2.87987e-05	0.000843311	0.00334173	0.00159279	0.00342054	0.00488331
e	0.00063136	0.007982	0.0816405	0.879302	0.00599143	0.0208327	0.000122893	0.000112463	0.000500038	0.000498635	0.00156272	0.000823171
n	0.000632828	0.00972241	0.0199737	0.372782	0.424021	0.141735	0.00502548	0.00360556	0.00814051	0.00588823	0.00350365	0.00496957
a	0.000440991	0.00111401	0.00489435	0.581297	0.227892	0.0690488	0.0495575	0.0295322	0.0122565	0.00331725	0.00300159	0.017648
p	0.000223073	0.00132887	0.00185126	0.195675	0.647093	0.0839766	0.0173077	0.0123949	0.00891157	0.00408122	0.0058218	0.0213351
u	0.000596123	0.000758006	0.00220106	0.279335	0.393116	0.0668008	0.0835612	0.0860938	0.0308076	0.00889591	0.00591103	0.0419233
l	0.000144336	0.000598096	0.000593192	0.0548002	0.782553	0.0955154	0.0182879	0.0133456	0.00861061	0.00318538	0.00483753	0.0175291
i	0.000729468	0.000702338	0.00127526	0.12632	0.545435	0.0667983	0.0878906	0.0878605	0.0251505	0.00900129	0.0059773	0.0428587
z	9.56043e-05	0.000337064	0.000228055	0.0168741	0.806037	0.108567	0.0224987	0.0148191	0.00788959	0.0023967	0.00422394	0.0160332
z	0.000585128	0.000925368	0.00151682	0.0889867	0.496398	0.10879	0.0817732	0.0923899	0.0364583	0.0099886	0.0114559	0.0707326
è	0.000293954	0.000753623	0.00121486	0.0138821	0.085129	0.0391413	0.104054	0.184851	0.0767535	0.0158093	0.246569	0.231549
s	0.00118137	0.00795488	0.0128616	0.157585	0.0575347	0.516304	0.00494794	0.0196251	0.060816	0.0705526	0.0554143	0.0352227
s	0.00313535	0.00493319	0.00824107	0.110357	0.268096	0.504137	0.0125822	0.0106879	0.0123513	0.0100555	0.0475099	0.00791359
i	4.01173e-05	2.42271e-05	0.000148188	0.00463607	0.00319436	0.00308395	0.00134622	0.0306771	0.0301191	0.0201116	0.679477	0.227142
è	0.00011443	0.000186078	0.000168445	0.00366178	0.103176	0.170793	0.208039	0.325259	0.0989271	0.0332724	0.0106146	0.0457884
n	0.000211558	0.00203137	0.0022422	0.00287467	0.029741	0.904501	0.0185773	0.0174615	0.0141367	0.00585338	0.00148886	0.000880234
a	0.00108973	0.00194417	0.00423754	0.0191151	0.0942838	0.410832	0.0417943	0.110123	0.210551	0.0806332	0.017187	0.00820848
p	6.38824e-05	0.000133492	5.97087e-05	0.000406276	0.0551019	0.103077	0.216054	0.384239	0.163076	0.0327321	0.0209636	0.0240937
u	0.000149366	0.000125074	0.000212794	0.000618435	0.0303693	0.0168142	0.259482	0.498187	0.145189	0.0178881	0.00691872	0.0240458
l	3.29518e-05	6.48276e-05	2.52736e-05	6.43511e-05	0.0285434	0.0202524	0.32037	0.495721	0.0949337	0.00764721	0.0137597	0.0185855
i	0.000136283	6.81283e-05	0.000112223	0.000262182	0.0132014	0.00385659	0.243945	0.557225	0.136872	0.0131879	0.00641358	0.0247196
z	2.71342e-05	6.03807e-05	2.22714e-05	4.25772e-05	0.0165182	0.0122127	0.278997	0.510914	0.129675	0.0120145	0.0176893	0.0218273
z	7.63574e-05	7.20567e-05	8.97281e-05	0.00019958	0.0108105	0.00530812	0.168508	0.607117	0.110383	0.0142953	0.0193103	0.0638303
è	0.000100635	8.34705e-05	7.24733e-05	0.00037692	0.0455833	0.00759891	0.0523136	0.207953	0.0302413	0.0169944	0.337098	0.301583
s	0.000225399	0.00104313	0.00142759	0.00126518	0.00117667	0.0122346	0.00298706	0.0371325	0.164987	0.385382	0.268656	0.123483
s	0.00126683	0.00116105	0.00226971	0.00311779	0.0079999	0.0166913	0.0314418	0.173375	0.31266	0.287721	0.133054	0.0292417
i	2.03517e-05	4.92997e-06	2.5191e-05	8.7375e-05	0.00142618	0.00083642	0.00113261	0.0638372	0.0274586	0.018311	0.687868	0.198992
o	6.75561e-05	8.2667e-05	6.35081e-05	9.12572e-05	0.00396811	0.00296913	0.0213075	0.0677487	0.119662	0.426612	0.159745	0.197682
s	0.000156045	0.000220824	0.000235691	0.000265108	0.000707678	0.000870616	0.0214837	0.148603	0.297186	0.285542	0.157874	0.0868556
p	0.00015396	4.33166e-05	7.59844e-05	0.000134905	0.00368452	0.00066194	0.108527	0.338726	0.235647	0.113734	0.0719886	0.126622
ì	0.000132901	0.000148578	4.66026e-05	7.00871e-05	0.0602625	0.0049422	0.251712	0.222128	0.0155072	0.0085897	0.153032	0.283428
t	7.1162e-05	0.000234216	0.000409939	0.000300397	0.00011503	0.000735923	0.000599681	0.00763682	0.0757423	0.345922	0.456039	0.112194
i	0.000262308	0.00014307	0.00031803	0.000414546	0.000468484	0.000738129	0.00314795	0.0292693	0.138539	0.615651	0.172463	0.0385861
k	5.52902e-05	6.93741e-05	4.17666e-05	4.17596e-05	0.00104718	0.00063874	0.00668878	0.0176064	0.0252965	0.202594	0.418866	0.327055
a	0.000481869	0.000233735	0.000450062	0.000640105	0.00122292	0.000578101	0.0280422	0.109014	0.16906	0.204323	0.230204	0.255751
m	4.44681e-05	6.22203e-05	3.59572e-05	3.30219e-05	0.000452134	0.000238745	0.0150772	0.036866	0.0218212	0.100343	0.608083	0.216943
è	0.000304732	0.000170329	0.000259552	0.000334803	0.00107946	0.000397549	0.0275251	0.136465	0.125954	0.138317	0.309206	0.259987
r	2.50534e-05	6.69338e-05	0.000212536	0.00012762	4.62169e-06	7.01311e-05	2.29394e-05	0.00114457	0.0156047	0.13047	0.81346	0.0387903
i	0.000623902	0.000465318	0.000887549	0.00102923	0.000676933	0.00110436	0.00310555	0.0181215	0.0471385	0.387569	0.454271	0.0850064
</S>	3.24379e-05	3.15916e-05	2.40527e-05	2.26041e-05	0.000111548	7.74652e-05	0.000711093	0.00199449	0.00360506	0.0501368	0.234034	0.709219
