 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.907482	0.0844531	0.000979251	0.00153017	0.000699703	0.000114299	0.000115554	0.000597723	0.00402781
n	0.271197	0.713157	0.00250217	0.00882616	0.00390207	0.00020605	0.000156493	1.88418e-05	3.42859e-05
è	0.0160091	0.74285	0.0400757	0.0614823	0.0953948	0.0336658	0.00728112	0.00128278	0.00195785
n	0.00245642	0.944309	0.00147951	0.0502315	0.000482946	0.000887626	4.36272e-05	9.98554e-06	9.98877e-05
a	0.0422297	0.909386	0.0183201	0.02797	0.00186683	0.00015391	5.50704e-06	1.64436e-05	5.10062e-05
m	0.00558991	0.0589783	0.908022	0.0199333	0.00727816	3.21455e-05	0.000163582	1.16638e-06	1.42587e-06
i	0.00220961	0.0213503	0.205833	0.569174	0.0759102	0.0887114	0.0182029	0.00262251	0.0159861
l	0.00158393	0.00817979	0.914009	0.0488824	0.0237444	0.000178067	0.00215059	0.000178219	0.00109395
ì	0.000639519	0.00583813	0.402921	0.507586	0.0553549	0.0138589	0.00586333	0.000799502	0.00713917
s	3.44059e-05	0.00166402	0.00743815	0.98857	0.00137723	0.000197594	1.8061e-05	0.000161124	0.000539643
i	0.00141515	0.0116139	0.0924309	0.753254	0.120841	0.0185153	0.000572652	0.000789395	0.000567551
m	0.0010989	0.00300579	0.09664	0.0262648	0.867729	0.00119393	0.00321534	0.000261707	0.00059079
b	0.0009964	0.0024068	0.0319656	0.603912	0.144903	0.158595	0.0289288	0.00437604	0.0239159
r	0.00270612	0.00686559	0.140202	0.0423314	0.188143	0.00722971	0.0546075	0.129215	0.4287
ò	0.000308824	0.00192834	0.017503	0.0214593	0.0411044	0.02714	0.0494503	0.163041	0.678064
s	0.00562172	0.0216663	0.0176858	0.193509	0.325049	0.404272	0.0118893	0.00885254	0.0114546
t	0.00128411	0.00440418	0.00328856	0.0226476	0.214104	0.743852	0.00578903	0.00352716	0.00110307
i	8.87349e-06	0.000254917	0.00197209	0.0425567	0.0100467	0.139767	0.0338126	0.588374	0.183207
n	0.00220685	0.00198869	0.0157593	0.000681879	0.368623	0.107463	0.348233	0.0272272	0.127818
A	0.000140234	0.000319122	0.00204811	0.00278823	0.0374032	0.828723	0.078728	0.0133975	0.0364523
n	0.000309035	0.00247835	0.000994699	0.0653452	0.0309775	0.769074	0.00682406	0.0485548	0.0754421
n	0.000110186	0.000197786	0.00020829	0.00120425	0.0105172	0.971556	0.0121284	0.00221811	0.00186024
a	2.7772e-06	1.72158e-05	0.000223895	0.00621563	0.00367416	0.562233	0.00486736	0.27732	0.145445
à	0.000634423	0.00045829	0.00144472	4.63171e-05	0.0127262	0.0296067	0.883403	0.0204624	0.0512182
t	0.00379695	0.00652512	0.00188925	0.00775053	0.00449343	0.64888	0.295032	0.0279675	0.00366556
s	6.31136e-05	0.000381953	0.000306566	0.00283559	0.00189704	0.69244	0.275633	0.0227056	0.00373755
e	5.40213e-06	2.13762e-05	0.000240912	0.000949707	0.000547441	0.0900927	0.0144095	0.653024	0.240709
t	0.000292978	0.000283041	0.000683603	4.81664e-05	0.00117422	0.00543543	0.530203	0.213707	0.248172
ù	2.41451e-05	8.67901e-05	0.000388949	0.000390479	0.000475563	0.0515726	0.584663	0.171219	0.191179
o	0.00031572	0.00158484	0.000414997	0.0235036	0.000377041	0.0349137	0.0487325	0.825719	0.0644386
</S>	0.0037972	0.00455959	0.00875838	0.00239384	0.00276828	0.00630056	0.211503	0.708636	0.0512831
