 	entrò	da	qui	</S>
m	0.132660319	0.735654975	0.0471093065	0.08457537548
b	0.305935612333	0.646030828333	0.0197789927	0.0282545171933
ì	0.643225470778	0.337191312778	0.00916156243333	0.0104216099778
k	0.501359469259	0.469120237593	0.0244614988111	0.0050587651926
e	0.448117182086	0.516126035864	0.028841671037	0.00691507739753
a	0.426944763662	0.230710370955	0.299446065779	0.0428987804658
p	0.143618465654	0.199351012652	0.60595759526	0.0510729209553
ò	0.048960011818	0.182382217584	0.708381555087	0.0602762027851
t	0.017308997506	0.0716066145613	0.837910531696	0.0731738422617
t	0.193375424269	0.149929406854	0.615889320565	0.0408058620872
u	0.266557291423	0.176327348285	0.283329083522	0.273786284029
</S>	0.155689570711	0.103056863142	0.222788161761	0.518465392015
