 	l	ha	scritta	</S>
t	0.40297397729	0.5039601455	0.0389050195	0.0541609104785
o	0.212712130623	0.7541763285	0.0144270487	0.0186844920118
è	0.162829909541	0.822066722833	0.0079894112	0.00711391291393
g	0.068937318447	0.834143154278	0.0912639061667	0.00565557168131
r	0.0371901900823	0.834631221426	0.119864593389	0.00831398156044
a	0.0361960636941	0.804221813809	0.14544373913	0.0141384091868
t	0.023700589898	0.76702974127	0.184179193043	0.0250904757289
s	0.0252266176327	0.805670133757	0.104021317014	0.065081915243
e	0.0250396830109	0.556400764586	0.207130258338	0.211429298414
</S>	0.0130875002054	0.315139662293	0.347895999169	0.323876849207
