 	mi	si	gonfiò	il	dito	</S>
m	0.341114865	0.285056955	0.089825223	0.157108115	0.021420336	0.1054744392
u	0.219751979667	0.477770291667	0.0920293693333	0.121413571667	0.0446768213333	0.0443579342
p	0.142675755889	0.388444959222	0.0464002839778	0.335856840556	0.0554298424444	0.0311922970667
r	0.23736824663	0.273665215074	0.0231073895259	0.413691933519	0.0306618599815	0.0215053173556
ì	0.445354168877	0.300330158358	0.056964438842	0.173040478506	0.0114313214605	0.0128794121185
s	0.369351250626	0.197832106119	0.0623296759473	0.122938693502	0.239620851454	0.00792742427283
t	0.226975911209	0.13713705204	0.0252154146491	0.285209694501	0.320690473151	0.00477149322428
i	0.255973420403	0.30371610068	0.0195493095497	0.2899014115	0.122548414384	0.00831136064143
t	0.237349000134	0.31427287136	0.0145290885666	0.2673548505	0.106722708795	0.0597714562138
o	0.159852013378	0.28559058492	0.0160057342389	0.306155346833	0.147869829598	0.0845264730713
d	0.077731110126	0.27572402184	0.0165549877863	0.393062195611	0.179038819866	0.0578888520238
à	0.0373293741087	0.100256902813	0.208325684635	0.39518168187	0.196245203289	0.0626611273413
t	0.0274710324362	0.058590788271	0.291487716545	0.219611370623	0.337776277763	0.0650627524471
t	0.179070666812	0.0718196480903	0.140961195182	0.229795700208	0.339045617254	0.039307107249
i	0.237494952271	0.0828125893634	0.106817281061	0.260592270069	0.168960113751	0.14332277885
l	0.160695650757	0.0536561679211	0.071127853407	0.20801508669	0.29599502125	0.21051021295
o	0.119924112586	0.0279455584404	0.0329634815223	0.137388326897	0.35127845375	0.330500050983
</S>	0.070757169793	0.0269124007202	0.0301183187611	0.113872420449	0.252623096875	0.505716575491
