 	stava	ancora	cucinando	</S>
ì	0.477368449	0.5068857635	0.003820963	0.01192481381
s	0.1714339781	0.7331009545	0.0688903426667	0.02657472281
t	0.166649018467	0.704456168167	0.0920617575556	0.03683305527
i	0.489091679489	0.459444134389	0.0336591050519	0.0178051002367
g	0.489806859996	0.210926066463	0.272210787551	0.0270563155589
g	0.298058410165	0.305294915488	0.35804102685	0.038605666853
h	0.448121783388	0.403182048496	0.126789533583	0.021906648351
e	0.630366751129	0.310226086165	0.0467250154943	0.012682168517
a	0.479031641376	0.253907522055	0.229523449165	0.0375373991723
n	0.162968999405	0.177464814452	0.311828363055	0.347737838057
k	0.0908171477483	0.204529625251	0.148535426352	0.556117812686
ò	0.318961082583	0.264393955084	0.088359416784	0.328285555562
r	0.383320144194	0.192471485028	0.255376001595	0.168832379854
a	0.392758984731	0.187445278343	0.292903057932	0.126892677618
m	0.371962644344	0.138437909114	0.418011350044	0.0715881178727
a	0.300440680881	0.102754202705	0.464721493348	0.132083656958
r	0.27611224365	0.0859999806217	0.334158474449	0.303729312319
è	0.10805196924	0.0939890799272	0.497107011483	0.300851940773
o	0.0523917270467	0.106940654309	0.660529603828	0.180138003591
n	0.0186545002156	0.0461126886497	0.593817291276	0.341415481197
t	0.0208822186385	0.0256964434299	0.379702000425	0.573719310399
a	0.0254120658795	0.0220536911433	0.279316786808	0.673217453466
</S>	0.0195272574397	0.0159565640717	0.233146303404	0.731369876733
