 	è	che	è	entrato	da	qui	</S>
è	0.3519979115	0.428973816	0.049117172	0.01046109925	0.071062903	0.030931792	0.05745530717
n	0.122712388577	0.535684588667	0.113349060667	0.100225314083	0.095875025	0.0129305514	0.01922307582
a	0.0420225291023	0.511803229556	0.190494120222	0.140747643361	0.103067333333	0.00541384725567	0.006451305133
m	0.0154872013674	0.396222005219	0.149053080507	0.0639858819537	0.370122839444	0.00293405797422	0.002194891334
b	0.0502430462891	0.231927817106	0.0755046739357	0.160842822818	0.478339506481	0.00229897087141	0.000843101324667
ì	0.068811202763	0.218455655702	0.0924095713119	0.431299574273	0.187639018494	0.0010287357638	0.000356185188556
k	0.0386462572543	0.116566414801	0.074262500604	0.383851192658	0.380545579165	0.00596539768127	0.000162620474852
e	0.0379492247514	0.0833254378337	0.0747015770347	0.346591715453	0.449130997388	0.00785891672709	0.000442135356617
a	0.0295660820071	0.0725600393779	0.0754055868116	0.348606173484	0.182341640129	0.288069981076	0.00345048085221
p	0.013399122759	0.0605153445593	0.0440782954039	0.160639252828	0.140798553376	0.576234727025	0.0043346808174
ò	0.00790062032633	0.0545467193864	0.031629329548	0.0849967014427	0.105991173459	0.706767509008	0.00816794847247
t	0.00312540941544	0.0194079228288	0.012005079496	0.0356911874809	0.0454807608197	0.873925919669	0.0103637344908
t	0.0381480913718	0.0254466574429	0.021049031732	0.17362305566	0.10562457094	0.625505880556	0.0106027071636
u	0.0553215401239	0.037144998481	0.0334591435773	0.28017506522	0.174989233647	0.282094074185	0.136815926388
</S>	0.0365481095619	0.0342854682405	0.0325940892886	0.23749598261	0.171530281823	0.228214522092	0.259331548194
