 	forse	non	li	ha	a	casa	</S>
f	0.0315056963	0.1182541495	0.2387984075	0.0973155305	0.0528793345	0.41245392085	0.048792966415
ò	0.289562521433	0.173210453167	0.2410157025	0.0991358165	0.042775801	0.137994558463	0.0163051294833
r	0.358347705478	0.163775054389	0.1915405175	0.131709411833	0.0949687618333	0.053826298101	0.00583221512943
s	0.306492153493	0.163059841463	0.1721483935	0.186138330611	0.143166243944	0.0257475461707	0.00324746807648
i	0.472608751164	0.232441507154	0.0866045655	0.11818569987	0.0795346340147	0.00861376838723	0.00201108873349
e	0.361459601055	0.232329299051	0.1571997685	0.09683909629	0.143837257372	0.00752069932241	0.00081430082583
t	0.145909640018	0.12470587935	0.1633059325	0.0994610297633	0.358174712457	0.0318400491075	0.0766027476153
u	0.068379451006	0.124550382783	0.187999013833	0.130840867588	0.349825305486	0.0365517843025	0.101853149438
s	0.0407089976687	0.117835717661	0.194211637811	0.126683635529	0.299945009829	0.115539799368	0.105075176713
è	0.0588727778896	0.11438098262	0.11932068247	0.129205728176	0.26110708161	0.207343556456	0.109769181904
c	0.0669575226299	0.12768888654	0.10527484149	0.155978564392	0.294904955537	0.208516505485	0.040678705368
h	0.04303367921	0.0700702978467	0.0542780061633	0.176387086464	0.497634508512	0.144345227828	0.0142511835227
i	0.0325539534033	0.0476429926156	0.0395248070544	0.253786042155	0.494392462837	0.104771558609	0.0273281845076
è	0.0164399997478	0.0296987151052	0.0286603910181	0.188576642552	0.300122084279	0.321529739536	0.114972421503
s	0.0058590672626	0.0157879842684	0.0194221746727	0.093640262684	0.171870101426	0.554642179845	0.138778226168
s	0.00701087732087	0.0206388814228	0.0220579085576	0.0901569775613	0.232665953809	0.476014439948	0.151454981056
u	0.015830540607	0.0223996211409	0.0163733933192	0.0790801948538	0.237978387936	0.404485193316	0.223852680352
</S>	0.0210423963035	0.0196403490705	0.0119186603596	0.0655862359269	0.185063473968	0.457325296658	0.239423590176
