 	sono	vestita	</S>
ì	0.90192677	0.0526453875	0.04542782665
m	0.639699334	0.339158660833	0.02114200665
e	0.518961588667	0.455958240278	0.0250801938833
n	0.500152206222	0.292089433426	0.207758362961
d	0.520961198741	0.212882069142	0.26615672932
i	0.655074086247	0.106513211047	0.23841271144
m	0.419260328749	0.354320353682	0.22641932848
è	0.191971292916	0.622504227894	0.185524460827
n	0.283244880972	0.542528499298	0.174226580276
i	0.303168967991	0.387658263099	0.309172756759
</S>	0.165616245495	0.31744709155	0.51693666338
