 	sapeva	che	fa	freddo	e	non	aveva	di	nuotare	</S>
ì	0.024255436	0.0583663425	0.522237845	0.03731050759	0.236466524244	0.0843042957717	0.00640349766425	0.019010517875	8.97972005e-05	0.0115552914705
t	0.0912594873333	0.1977091675	0.497364815	0.0151515064233	0.0859983725771	0.0347188304384	0.0238099386643	0.0430013342083	0.00288628407717	0.00810030680383
s	0.228582962444	0.4044975325	0.202635769333	0.00791637870777	0.0378085410924	0.0186607917128	0.0315014307881	0.0511662671594	0.00511452419239	0.0121158636013
e	0.452380054148	0.407000834167	0.0740538004443	0.00300304131926	0.0147660366441	0.0067693244376	0.0124954832094	0.0173016057198	0.0030079294878	0.00922193940643
r	0.449172101383	0.240651048056	0.0306925935481	0.00142730335642	0.0108415602614	0.00454016601253	0.0137316961165	0.0114574791499	0.20773589442	0.0297501800081
e	0.337713067128	0.243613016019	0.062534144916	0.00369388701881	0.0116269306538	0.00426008713751	0.0142322434055	0.00966013551663	0.27597939872	0.0366870981127
k	0.263170567709	0.220224384006	0.0747143303053	0.0050534871396	0.00901742111793	0.00396314707917	0.0094742011685	0.0187226033055	0.361742400153	0.0339174241476
a	0.10216475957	0.106855203335	0.293097925435	0.0235984655132	0.0137888030393	0.00545481072639	0.00870308262283	0.0229171912018	0.390344104679	0.0330756084159
k	0.0492648115233	0.0684271902783	0.365575693612	0.0309961269377	0.0151567190131	0.00597420747546	0.00912169277428	0.0647472805006	0.302937459521	0.087798803172
à	0.0284209873278	0.0346975122594	0.301848296337	0.128736587413	0.0206022323377	0.00763106049182	0.0183061325914	0.0798973113669	0.273857922137	0.106001939737
n	0.0180644945959	0.0331566247531	0.293023977446	0.172216004138	0.0690099707792	0.0389329288306	0.0662524041971	0.133968454989	0.121122556342	0.054252544259
n	0.262751946865	0.0445717145844	0.112201743349	0.071637594246	0.0903149819264	0.0528401502769	0.0914502837324	0.161011143996	0.0743602437807	0.038860217753
i	0.349329781288	0.0863776168615	0.12708381665	0.0695446326153	0.137589228975	0.0494719674256	0.0606045615775	0.0754280559987	0.0291776748269	0.015392715051
t	0.142382881429	0.0826531562872	0.131423330424	0.0675803331354	0.135953656858	0.0416435965419	0.0371712435258	0.0460336599996	0.280830826842	0.0343273034837
s	0.0837991824763	0.0484968104291	0.044111859999	0.0230879752421	0.0745840548193	0.030062451914	0.114186946175	0.138142859	0.381614734614	0.0619130978279
ì	0.0518752526254	0.035195297043	0.019025980983	0.0198472856807	0.100864300273	0.0712271129713	0.339134535392	0.173890183	0.145851999538	0.0430880645093
c	0.0405789660085	0.0243842392477	0.0103632183605	0.0182289716102	0.0819069150243	0.0694120231771	0.326430631131	0.0811153253333	0.312885928846	0.0346938477364
h	0.16327623867	0.0241347554159	0.004364165853	0.00926203192007	0.0677000199414	0.0503094899124	0.22378732971	0.0555367661111	0.369645058949	0.0319842050121
r	0.23554548289	0.015032854872	0.00243271238767	0.00631751565002	0.0661357599805	0.0490152933041	0.254140459903	0.066118952037	0.280049428983	0.0252115497707
a	0.13354221403	0.00861036915733	0.00204467216589	0.02729803656	0.14916203666	0.110115357768	0.190361929968	0.106125750679	0.248292253328	0.0244473960569
c	0.0452033474733	0.00440251775244	0.00184600372976	0.0342339033776	0.17283897679	0.125160349116	0.0975727528227	0.0932282152463	0.414607601443	0.0109063674856
e	0.0154323394211	0.00236410818415	0.00386733628439	0.0485595089835	0.235135360167	0.130572879565	0.0428122987742	0.0473195294354	0.469328920508	0.0046077214952
