 	viene	fabbricato	</S>
è	0.97116345	0.0170413752	0.0117951603
r	0.77160241	0.156408009533	0.0719895763
k	0.705963616667	0.202320382598	0.0917160012193
e	0.588284465556	0.358017880286	0.0536976541924
t	0.488878715185	0.450633493429	0.0604878370641
e	0.610943105062	0.316425594476	0.072631346688
f	0.703133735021	0.237528013492	0.059338214696
a	0.60684597834	0.275939876497	0.117214087365
b	0.395174516113	0.444284568832	0.160540900788
b	0.533972495371	0.376564539611	0.089462988596
r	0.730850108457	0.229129636537	0.040020290032
i	0.834626779486	0.126376816846	0.038996393844
k	0.610576909829	0.304476826949	0.0849462212813
à	0.24399749961	0.65134072565	0.104661747094
t	0.30259591287	0.61782561855	0.0795784580313
o	0.32353447729	0.345191019517	0.331274491677
</S>	0.169196648145	0.230635339758	0.600167995839
