 	lo	sentii	che	arrivò	</S>
t	0.263778085617	0.485950426	0.0449507515	0.0929826652474	0.112338075223
o	0.114332632283	0.725809475333	0.0913815888333	0.0309942432802	0.0374820452999
n	0.064649422011	0.585746441778	0.326492016278	0.0103314378896	0.0127806878566
ì	0.0377839532537	0.567174120593	0.387064768759	0.00344389839272	0.0045332626522
k	0.0454609557512	0.677306030198	0.266575259586	0.00910297579703	0.0015547518624
u	0.31329545525	0.481461745066	0.193610680862	0.0109982330217	0.000633866332467
s	0.387746502083	0.276614140022	0.326446667954	0.00367683065423	0.00551586753082
a	0.138500469028	0.337082523341	0.516104315985	0.00122791718698	0.00708475496494
k	0.055824339576	0.33898119778	0.471450345328	0.129168074807	0.00457599777631
a	0.0249312954253	0.189994956593	0.385217231776	0.348355024936	0.0515014762588
ì	0.0124424136984	0.0790775912977	0.218080359425	0.608099208312	0.0823004387529
r	0.00595564488947	0.0290981911992	0.082869451975	0.813780202771	0.0682965245843
t	0.0271210820632	0.0758993793997	0.224449217325	0.604606984257	0.0679233498614
e	0.0361704356877	0.0928938564666	0.277610490442	0.289852431419	0.303472773287
</S>	0.0235556428439	0.0525011632333	0.162563472221	0.22084154571	0.540538136644
