 	devo	pulire	l	albero	</S>
è	0.1061600105	0.4694236025	0.128498648	0.1082968046	0.1876209445
n	0.039690984036	0.6329897475	0.223977501333	0.0388020517	0.0645397145
a	0.0162529022147	0.6635706825	0.280831977111	0.0157208789667	0.0236235850133
k	0.00895334893823	0.505617972167	0.42235691237	0.0300704842889	0.0330013285178
a	0.00879897217941	0.449600135389	0.470759527457	0.034681786907	0.0361595991393
t	0.00952182619314	0.42280818213	0.215967822486	0.0990799977797	0.252622179346
à	0.139678862531	0.318084664377	0.091798675162	0.123708051593	0.326729746449
r	0.182485660377	0.316683401459	0.305138936054	0.079297349531	0.116394637483
o	0.0836545929923	0.397148390486	0.411909992018	0.0623771367437	0.044909875861
t	0.0518630922308	0.393073735829	0.209365010673	0.301527935815	0.044170199987
o	0.0258368503103	0.227688314276	0.308664536891	0.386651364272	0.0511589006623
n	0.0159785621034	0.168611787292	0.324509849497	0.386743717091	0.104156050887
à	0.0141999850345	0.262920571631	0.158763757032	0.414741532364	0.149374106962
r	0.0150141356782	0.294934914744	0.106012578344	0.435193027455	0.148845335654
b	0.0357566418927	0.140709077448	0.152019698781	0.495639522485	0.175875095218
u	0.101117723964	0.105490512483	0.181522169594	0.419554964162	0.192314635073
r	0.0961658039213	0.052879340061	0.081468526198	0.627713048054	0.141773250358
o	0.0345746729071	0.040157962587	0.0492866817327	0.616356856018	0.259623805453
</S>	0.0182043249536	0.0530310587935	0.0542473258663	0.436480613009	0.438036667727
