 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a	0.269093323855	0.063723128	0.4717268265	0.058255071365	0.0193834453045	0.0202232406091	0.0258893139045	0.0249503728238	0.0192813432369	0.00077572636	0.00103859734	0.021937071987	0.00372261975
n	0.0941789541883	0.123576266	0.468968437833	0.020257143265	0.00671951812117	0.0744837239424	0.0315673385712	0.0176513351572	0.0501308642369	0.0100304674867	0.00650094578	0.0223273147957	0.0736077555833
ì	0.0413479697294	0.392605655333	0.229319308278	0.00760659008833	0.00250361494606	0.0925789606338	0.0334611589764	0.0152194750609	0.0604161039253	0.0127357719289	0.00785611844667	0.00799535539857	0.0963539545611
c	0.0363755022431	0.412727997778	0.171176306093	0.0230264214628	0.024012401071	0.0338752061976	0.0493543204448	0.0805601803621	0.0444968484881	0.020689921743	0.0355433340022	0.0328829381329	0.0352786362204
h	0.178264251748	0.254966005259	0.118059704031	0.0325858201543	0.040095096357	0.0515376467325	0.0557329161483	0.102686042321	0.039639717496	0.026005589581	0.0448080313274	0.0410413786302	0.0145778144068
a	0.236024433916	0.33593347842	0.19040742001	0.0237686553848	0.0276636827857	0.0681413735775	0.0206885646494	0.0350575691737	0.014174019832	0.013497942527	0.0156555560358	0.0137585347959	0.00522875570227
n	0.110737172639	0.26740353514	0.189022065003	0.0170800481949	0.0156870067286	0.0394833641925	0.0200800021498	0.0261931702579	0.0210025622773	0.0546560701757	0.142497174279	0.067807010932	0.0283507891341
d	0.0550162278797	0.10061683438	0.076284724001	0.0212472301316	0.0564361533762	0.0472023210642	0.0640009333833	0.070574501086	0.0397074810924	0.136801873392	0.203609037093	0.086054026644	0.0424486557114
ì	0.115092668293	0.20419785846	0.045641143667	0.0257363090439	0.0739779377921	0.105306283688	0.0679483244611	0.071755359162	0.0315494163641	0.121870811797	0.087327117371	0.0289922658137	0.0206045028055
s	0.143162592764	0.379761159487	0.111928586222	0.021983416348	0.0319066597974	0.0982197925627	0.0382768681537	0.033799939854	0.0257696921214	0.0492025492657	0.034458980797	0.0222993772036	0.00923038807017
o	0.084969649588	0.367266079829	0.184453308741	0.0529972287827	0.0796368804658	0.0829215221876	0.0350583607179	0.0265346799513	0.0245355664738	0.0193355993119	0.0167800463943	0.0200684183365	0.00544265605139
n	0.0470826555293	0.227876632276	0.126642362914	0.0555869495942	0.0957459468219	0.0778503710625	0.0319312082393	0.0323892353171	0.0243321009246	0.129517631327	0.11171805926	0.0226023850475	0.0167244631451
t	0.0236449505098	0.091142548092	0.0500193249713	0.0217885175314	0.0372852291073	0.0392081316875	0.0522684994131	0.057730598439	0.0471653259749	0.316600863776	0.212199183087	0.0238300083492	0.0271168620484
a	0.0301360251699	0.119824644364	0.0314877299904	0.0175332918438	0.0515528482024	0.155587121562	0.0661725131377	0.0602928404797	0.0469125546583	0.256758646559	0.139682856762	0.0083286657424	0.0157303126828
i	0.02859343439	0.151444594788	0.0413393516635	0.0261881509479	0.0629139327341	0.203555647187	0.0757052177126	0.0655398678266	0.0419274152194	0.210686934153	0.0629314179873	0.0218668502068	0.0073072370276
k	0.07824656413	0.0878118949293	0.0349098665545	0.022321961516	0.0383986622447	0.0939696450623	0.0867899859042	0.0991367059422	0.0567952777398	0.229074334718	0.118895632662	0.0300159827356	0.0236335514759
i	0.0982807450433	0.0568958793098	0.0202959268515	0.0289134637053	0.0988893904149	0.138696047687	0.104126818635	0.118935565314	0.0597531489133	0.112977307773	0.121509409467	0.013645881352	0.0270804635653
a	0.0375608115344	0.0376279442699	0.0143758574505	0.0331052859018	0.117212480138	0.152071961562	0.102905452878	0.101234328438	0.0506561059711	0.272420215458	0.057180566069	0.0139418702241	0.0097071511951
t	0.0250908050315	0.0207778132566	0.0070250680835	0.0160415313006	0.052554900046	0.0670246615207	0.0839166642927	0.111243212813	0.0611970983237	0.343662307486	0.0778165363563	0.016202988608	0.117446424665
è	0.0284592086772	0.0410904394189	0.00657953912783	0.0268143064335	0.135826630015	0.125620759174	0.0800557780976	0.109071382938	0.0748167074412	0.142449432495	0.0684287395854	0.007576602746	0.153210466522
r	0.0394098748924	0.0600294848063	0.00823183370928	0.0333160681445	0.171396925005	0.148707578725	0.0984835726992	0.127346809646	0.10529946248	0.0982116984983	0.0483133873285	0.00437245792533	0.0568808608073
a	0.0360601641641	0.0395690519354	0.00567473616976	0.0193236720482	0.150169836668	0.121015798575	0.150647867566	0.214639123215	0.117952317493	0.0759463425994	0.0414463621895	0.00329370688161	0.0242610346641
m	0.0290962389214	0.0229639869785	0.0104374423233	0.0192182723494	0.133849016556	0.0996378097583	0.143284785855	0.206553677738	0.101179965831	0.0576391606331	0.0837580604765	0.082041081867	0.010340486283
u	0.0264079661405	0.0164899409928	0.0118146599744	0.0179358961165	0.083754049852	0.0592348234861	0.155636741952	0.241164479246	0.11947803861	0.0553216205444	0.0987101156922	0.108310751141	0.00574089978433
t	0.0114777586468	0.0107166514976	0.00547092559147	0.0103182302055	0.0656293216173	0.0468831815954	0.141111714984	0.227000616415	0.0948280412033	0.0939425238481	0.132966764097	0.0918005342323	0.0678537502848
i	0.00697462378227	0.0104746629992	0.00357465096382	0.0089493895685	0.0539483322058	0.0521735842985	0.140923669328	0.209510235472	0.0916675787344	0.103323960783	0.143662012116	0.0862782551728	0.0885390667616
n	0.00523782289409	0.00889184249973	0.00234502242127	0.00796281902283	0.0484423060686	0.0526865070995	0.138133192443	0.198161795824	0.0878833515781	0.0537674824277	0.115525148122	0.0835559588196	0.197406732254
ì	0.00507983013136	0.00780170266658	0.00161905474042	0.00729754750761	0.0658826273562	0.0391639870332	0.109405790148	0.145952522608	0.097531502526	0.0882400134759	0.107785476174	0.0844590800732	0.239780836751
c	0.00338102774379	0.00868676422219	0.0183786814468	0.0126843145025	0.0707975513521	0.0345415225111	0.0978067584493	0.121582552303	0.0985679543087	0.086738043492	0.0485569155247	0.310910363824	0.0873675700503
h	0.00638706828126	0.00698835627406	0.0237942709723	0.0111025784342	0.0325810943507	0.0238170000037	0.0589446078831	0.0830245788677	0.0744053102362	0.201189483497	0.0615830065082	0.384617048888	0.0315656360168
a	0.00705603305042	0.00298772147802	0.00809277090077	0.00429256289807	0.0179216628836	0.0200747717679	0.0489452186277	0.0744318489559	0.0725475120787	0.463993934499	0.130031276836	0.134954345909	0.0146703862056
p	0.00356806537347	0.00162137741267	0.00370389092026	0.00201278428602	0.00634805952787	0.0073768155793	0.0207205602759	0.0312085956853	0.0324128654262	0.387606655966	0.130022188945	0.36395718397	0.00944102496853
à	0.00303059435782	0.00142563387089	0.00231290214675	0.00158272532867	0.00582211597596	0.0137376977498	0.0291904781586	0.0428573019284	0.0451757165421	0.331468683122	0.0770622029817	0.436627628323	0.00970639355618
r	0.0547282886193	0.0109623416236	0.00205450242225	0.00284438750956	0.0139963033253	0.0207939205833	0.0449223113862	0.0596096719761	0.0958037721807	0.323482939374	0.0934070476606	0.257383643108	0.0200109301854
o	0.0723347195398	0.0151090975412	0.00194711075075	0.00312594293652	0.0184200684418	0.0404401368611	0.0828134491287	0.121241561992	0.163191030727	0.165212781458	0.0960940578869	0.194909642603	0.0251604060618
n	0.0255151389133	0.00680005794707	0.000890942066917	0.00174931494551	0.0132015363806	0.0425347225537	0.0833227779096	0.130708982497	0.139697914576	0.109382579486	0.0618596212956	0.354720295768	0.0296160480206
t	0.0104310306044	0.00328571828236	0.000749796275639	0.00157076061517	0.00805476112687	0.0174298171179	0.0394574675032	0.060300477999	0.0670951408587	0.168177065495	0.175909367099	0.410787892256	0.0367506293402
a	0.00530203766813	0.00193407579412	0.00058969922188	0.00128465778839	0.00722592180896	0.011020147706	0.0331560695011	0.057029031333	0.0572080632862	0.336196098498	0.288211042366	0.155154079752	0.0456890451134
s	0.00236976655604	0.00184782053137	0.000427601237293	0.00118384117946	0.00833090826965	0.00838643023533	0.0217584355004	0.0433901004443	0.0363597495287	0.282332685499	0.187074644455	0.347609468584	0.0589285170378
i	0.00122908446868	0.00208803277712	0.000387953852431	0.00177481335982	0.0213063154232	0.0102603970784	0.0693528238335	0.187922950148	0.0871863502762	0.107947438666	0.0699452118183	0.396707180611	0.0438914273459
n	0.00219900480623	0.00299494609237	0.000850984477477	0.00344903665327	0.0317800554744	0.0106314640261	0.0861916998445	0.238262020383	0.104485130425	0.0399977623887	0.0298092132728	0.36556938462	0.0837792841153
a	0.00253328438208	0.00345228316412	0.00101132009916	0.00409550805109	0.0322682211581	0.0116937976754	0.0952019951815	0.249163767128	0.116712163808	0.0160746513629	0.0157938996909	0.35517142513	0.0968276363718
g	0.00107589145736	0.00245325495471	0.00129822987305	0.0046479716837	0.0274076320527	0.0104945147251	0.0970104445605	0.250707249843	0.119682355036	0.00664659308763	0.0078270418303	0.422142418633	0.0486063587906
l	0.0125700891691	0.00447340675157	0.00199637359102	0.00779114606123	0.0434672936842	0.0202036137417	0.0557932976868	0.121451487414	0.067446212112	0.0203460160959	0.0407867632768	0.447101990211	0.156572274597
i	0.016744083023	0.00479326951719	0.00139807721034	0.00672363608708	0.0466927077281	0.0246983072472	0.0466411155623	0.0896073268047	0.0574497640373	0.123821886365	0.127930754426	0.19858960407	0.254909441532
s	0.006301450591	0.0022579191724	0.000770663703447	0.00304838189569	0.019659162876	0.0104208985491	0.0216428347208	0.0440785600349	0.0277656866791	0.142299109122	0.122793493342	0.41466515469	0.184296685177
ì	0.00303472528033	0.0015915096908	0.000548769161149	0.00186973446523	0.0131936904253	0.0102710813164	0.0241103361069	0.0501542051116	0.035891500893	0.235494916707	0.0722796709807	0.448797340563	0.102762525059
a	0.00175272871144	0.000972618646933	0.000234224338916	0.00089970012931	0.00914192759343	0.0096813161748	0.0244299353723	0.0513009326239	0.0381536580827	0.265699234769	0.0543821367269	0.480990785854	0.0623608316863
</S>	0.00092306958272	0.000504072098466	0.000117885587258	0.000452407476005	0.00458446847422	0.0048470241914	0.0122697656912	0.0257190801919	0.0191377357188	0.134037011184	0.0289986809635	0.724089842927	0.0443190128431
