 	non	sono	andati	</S>
e	0.53567168	0.2518537205	0.1885582756	0.0239162865
n	0.2149432273	0.5114080235	0.1939401342	0.0797086005
è	0.1206370864	0.7112092745	0.0723456494	0.0958080185
c	0.0887961964767	0.5150259271	0.3581850388	0.0379928608667
h	0.137058836502	0.3979166613	0.451987793817	0.0130366952876
u	0.284676088834	0.548774820433	0.153638186489	0.0129108850612
n	0.228344948611	0.391313496144	0.29838546983	0.0819560896871
e	0.110842253537	0.428465354715	0.348239550277	0.112452827896
p	0.0698951606257	0.422914129145	0.449027933759	0.058162775632
a	0.0492031346552	0.265777620622	0.496878453586	0.188140810211
m	0.0423573561051	0.213554507091	0.504824616862	0.239263492404
è	0.016441158755	0.078336464247	0.722686985621	0.182535363135
n	0.039846155085	0.0337160288823	0.766310175207	0.160127662712
a	0.0609691450283	0.0637626087608	0.573098725069	0.302169565904
</S>	0.0536771525141	0.10955223438	0.325905592534	0.510865062952
