 	non	mangiare	la	sera	</S>
m	0.6317957	0.1116573621	0.161431211	0.07654396689	0.0185717691
i	0.356097941667	0.1864157007	0.368481013667	0.0813128749633	0.0076924763
f	0.158915897856	0.137365073367	0.335618469632	0.363772974321	0.0043276283
a	0.0869484515853	0.134828064256	0.320546534954	0.454957607774	0.00271939316667
i	0.0661874165284	0.151952915419	0.483003498318	0.272252418925	0.0266037507889
o	0.0395390748428	0.079936683473	0.575872062773	0.256849889642	0.0478022635963
v	0.0353417749476	0.0382462627577	0.444227950591	0.430058779881	0.0521252178654
r	0.0201765047992	0.0152954455192	0.153393551264	0.768538693294	0.0425957929551
à	0.0457315580831	0.258614942506	0.0828873971547	0.593531613431	0.0192344663184
i	0.0654093240277	0.339469551502	0.128435084385	0.41193717681	0.0547488571061
</S>	0.0496616490138	0.172122601751	0.168175022193	0.513298273405	0.096742463553
