 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
i	0.35083272265	0.4694557825	0.081095231	0.023412275	0.0067730333	0.0111271947	0.00660632908192	0.007653073335	0.001266189685	0.02606852595	0.015709705
m	0.18330956265	0.4677306255	0.053309651	0.0310297853333	0.0211806254333	0.179887329367	0.00656200608192	0.0121050840017	0.00450867235167	0.0261788591833	0.014197837
à	0.15677010755	0.254769443167	0.215598630333	0.0728754097778	0.0240150824778	0.233994924709	0.00654714276114	0.0134547227961	0.00557466740556	0.00909735799877	0.00730254394
n	0.124311302517	0.238117244389	0.410641116778	0.0985009819259	0.0217953874926	0.0869464674897	0.00289446585421	0.00466204886087	0.00243127365685	0.00330528443726	0.00639442825333
a	0.0975611415057	0.231839671463	0.533547792259	0.0665877189753	0.0202727939642	0.0379725862966	0.00167686944524	0.00173450041662	0.00138482797195	0.00137844208709	0.00604364404111
m	0.151217107835	0.228557860488	0.435363629753	0.0306628361584	0.0089331273214	0.0771626848989	0.00104562044225	0.0206657791352	0.00146404624365	0.032131085937	0.0127962253037
u	0.172420215945	0.210063403496	0.408397962251	0.0241202302195	0.00717327740713	0.0908545577663	0.000836497416617	0.0269922068251	0.00155513063455	0.0423879292547	0.0151986323679
c	0.160552045315	0.180749704499	0.40035192075	0.0291241534065	0.0147651749024	0.116845845389	0.000342977714739	0.066411630055	0.00244605449818	0.0190728296939	0.0093376983893
e	0.151720191772	0.1466338115	0.406319606917	0.0430443298022	0.0211586036341	0.129652749463	0.000180859360246	0.0795828475717	0.00276238999273	0.011310769468	0.0076338566631
o	0.0653001812573	0.0917393195	0.635790982306	0.0756932399341	0.024966169878	0.070908420821	8.04505934153e-05	0.0266564814739	0.00108394666091	0.00385774101933	0.0039231031877
c	0.0893106944191	0.0567680455	0.478870295435	0.0853741166447	0.0546576219593	0.196108960274	0.000628379255805	0.030307611888	0.00320200752364	0.00152664960978	0.0032456349959
i	0.111674711473	0.0731457151667	0.359623953145	0.112128648882	0.0826928823198	0.221307393758	0.000801139597602	0.0314991499027	0.00395916948455	0.000689729178927	0.00247751549863
ù	0.082826210491	0.0813141937222	0.485137584382	0.188156599627	0.0664177091066	0.080342846306	0.000320711501534	0.0106805982542	0.00166790407152	0.000284265558642	0.00285137873288
r	0.0858038801637	0.0718711265741	0.468911051461	0.176690756542	0.0578256730355	0.111934073489	0.00900756969051	0.0053895642314	0.00296529595717	0.00105245068621	0.00854852914429
