 	è	che	stanno	ancora	alzati	</S>
è	0.4040350367	0.0613988305	0.35263407235	0.114567523	0.0299418535	0.03742261585
n	0.1371613962	0.108951616833	0.598048940783	0.121633159333	0.0181438223467	0.0160610217833
a	0.0477188552333	0.344357282278	0.514492286928	0.0805796244443	0.00616593089557	0.00668599789443
s	0.0179724226244	0.388399254759	0.294077545643	0.258761897815	0.00210562953852	0.0386832273315
t	0.0186837204215	0.256636392253	0.355994908548	0.318039549272	0.00083900971284	0.0498064219438
a	0.0857367291405	0.434795897418	0.347500397849	0.114417677091	0.00038020405908	0.0171691044203
s	0.0961334883135	0.402866050806	0.182937927616	0.285568669697	0.00030922008116	0.0321846140791
ù	0.0827996213712	0.370258535269	0.166714159205	0.342721851766	0.000290317063053	0.0372154903697
n	0.0829085837904	0.370071071756	0.346776023068	0.176205049122	0.00499609292368	0.0190431771332
e	0.0618890545968	0.284434067252	0.511424694356	0.122579518041	0.00662883515123	0.0130438263444
a	0.0502571872323	0.229610279417	0.386210338119	0.26015198768	0.0655266702271	0.00824354274813
n	0.0174780102208	0.081484629139	0.176629032306	0.307307796227	0.0969524700757	0.320148050583
k	0.0465265855169	0.0644521253797	0.229813210369	0.166928949076	0.0615393316919	0.430739769194
ò	0.139070458506	0.0973200737932	0.338518933456	0.156448347692	0.0800086888973	0.188633455398
r	0.142801887502	0.0810363769311	0.255312751152	0.252207763897	0.162177202966	0.106463984466
a	0.0678203071673	0.089694595977	0.390364580384	0.253964673632	0.147467287369	0.050688565822
o	0.0294006119488	0.085248888959	0.387239086795	0.109694066211	0.18990618217	0.198511183607
r	0.0103872673093	0.0300176673863	0.132156077098	0.052102171137	0.332293550723	0.443043291202
t	0.0114869328698	0.0163167522288	0.0528716401993	0.0286082681123	0.510216883574	0.380499535067
ì	0.0171536569566	0.0165865800763	0.0368989697331	0.0353652630374	0.454264184525	0.439731329689
</S>	0.0173947024783	0.0178431555381	0.0349103298666	0.0409568150187	0.246659862263	0.642235114845
