 	l	ho	sentito	che	viene	</S>
o	0.481645190965	0.00317197185	0.487900943065	0.0129638257	0.003670609115	0.0106474963236
n	0.160628652342	0.03011435085	0.534269981022	0.2688265929	0.00144828439667	0.0047122037903
ì	0.053752296524	0.0507168136167	0.525919960341	0.366351640967	0.00052085219989	0.00273849599743
k	0.0202391287747	0.0321448675389	0.61237629678	0.302745363656	0.031538188186	0.00095618665181
u	0.0602322384916	0.26870446218	0.355196557593	0.273637441219	0.0418619622561	0.000367358396603
s	0.0715635047805	0.371150970727	0.207258457864	0.32697104374	0.0148914351128	0.0081645919262
a	0.0276137038768	0.186336241909	0.318914962621	0.45026225458	0.00610205462427	0.0107707670781
n	0.0136417665256	0.106287003303	0.295760178207	0.312162721527	0.110454022961	0.161694305795
a	0.0953152304085	0.0930977954343	0.143585356736	0.240741203842	0.204018600987	0.223241799598
r	0.122160537836	0.0809170165448	0.0800943554787	0.173319036014	0.352472460329	0.191036587533
t	0.046511415312	0.0337953782483	0.0281529637262	0.065034805738	0.415692006776	0.410813452511
i	0.0311942834373	0.0309436260828	0.0117569564754	0.0345318755793	0.228011382259	0.66356188417
</S>	0.0311086167186	0.0355071710414	0.0077914280877	0.0274284597897	0.139101581129	0.759062742085
