 	ho	finito	di	scrivere	</S>
s	0.471915659	0.10551698	0.045323141	0.35562544105	0.021618805
p	0.260004642333	0.29598956	0.0430931046667	0.38500385535	0.0159088637
ì	0.209559448778	0.600329106667	0.0257316198889	0.15796136517	0.00641846059333
c	0.110210419926	0.507728141889	0.0157456296296	0.35986555011	0.00645024652444
c	0.120178278975	0.429538880296	0.0160882165432	0.427784391503	0.00641020461748
e	0.213121746325	0.475967580099	0.0944270031811	0.212069268634	0.00441437731516
t	0.173675696442	0.2637578467	0.114785805294	0.427167266211	0.0206133707717
s	0.0667923781473	0.381258615567	0.064539963998	0.462019295404	0.0253897444239
a	0.0268468853158	0.417443301856	0.343689822666	0.198559391801	0.0134606136413
à	0.0101384741819	0.159261673552	0.436824650889	0.385560983934	0.00821422041377
t	0.013753754204	0.0671892451173	0.198781526963	0.624642704645	0.0956327613379
s	0.0962782294013	0.131326139372	0.144154345654	0.435890544882	0.192350720446
e	0.114743915134	0.148925897124	0.380249251885	0.202429478961	0.153651433482
g	0.105496620378	0.0729971523747	0.410284621528	0.17534879032	0.235872824494
r	0.121353535459	0.0796260767916	0.154137812743	0.16244769344	0.482434928165
à	0.0607774711497	0.0685464336305	0.0745703789143	0.389229027813	0.406876760388
t	0.0873825810466	0.0888733292435	0.0365263683048	0.544101262604	0.243116511129
s	0.205117787016	0.126374725081	0.0334488297683	0.295762822201	0.339295847043
i	0.177523451605	0.074558474927	0.0477909492561	0.248572222067	0.451554899014
</S>	0.0891023947025	0.0394628643135	0.052993376128	0.319110211034	0.499331149507
