 	io	non	so	cosa	è	da	scrivere	</S>
e	0.4536406511	0.014554744	0.0083351595	0.4903502415	0.00523725685	0.01780410455	0.002778148115	0.00729967625
v	0.163286326433	0.0152463396667	0.0174506691667	0.4964546455	0.0989619597167	0.136677592217	0.0628994890383	0.00902299825
ò	0.081069540811	0.214161338889	0.112635213056	0.1789375627	0.141666607572	0.178788387406	0.0827109918794	0.0100303790167
e	0.074575736937	0.304813158296	0.152613489019	0.2612006701	0.0701408168573	0.0672233221353	0.0652029828265	0.00422985772557
n	0.0574618251843	0.136181576432	0.0884529460063	0.288028750833	0.0380105147858	0.149458810378	0.193344544275	0.0490610676952
e	0.0207166709334	0.145588370477	0.166508887002	0.192687011078	0.0307111974286	0.179723659459	0.200097535042	0.0639666831651
s	0.00855627968447	0.146894072426	0.176371070001	0.160710097259	0.0260934064762	0.127996622486	0.285911365297	0.067467081655
s	0.00447783503482	0.0626584230753	0.097696547667	0.069506762653	0.0463232174921	0.251224414162	0.394922468432	0.0731903385517
è	0.00616173877827	0.132003887692	0.221724892556	0.0396185004177	0.123879510497	0.235192075721	0.212271056187	0.0291483416839
r	0.0199405745928	0.145895387897	0.230941483852	0.0376172930059	0.182606146832	0.197904249574	0.169060452106	0.0160343883946
o	0.0307377551976	0.133819857966	0.142822397617	0.070555621002	0.199920062277	0.255328626525	0.155097023935	0.0117186094315
t	0.0239432887325	0.129870873989	0.114133070872	0.0601814870007	0.147032753426	0.342467908842	0.133948877878	0.0484216794438
i	0.0160355259108	0.0625530769963	0.0528165332907	0.0555284173336	0.0978281504753	0.527962746281	0.126547508826	0.0607280212479
e	0.0091969795036	0.0407935179988	0.0348499407636	0.0560253697779	0.102048648825	0.650370982094	0.081160249142	0.0255543271826
n	0.00330801355787	0.0185663654996	0.0200499344879	0.0225693418993	0.0646356537083	0.485103308698	0.143719306381	0.242048104394
a	0.00231277377596	0.0127814169999	0.0135552225626	0.0260347049398	0.0479569333361	0.460964467566	0.126151435094	0.310243059431
g	0.00471798932532	0.0146329113333	0.0104147863542	0.0291430948466	0.0472948047787	0.477206839189	0.106975314665	0.309614244444
r	0.00754046077511	0.0131595404444	0.0116075437847	0.0122517842822	0.0291363539262	0.25291977973	0.122562744888	0.550821781481
à	0.0059766092917	0.0088419058148	0.0128647462616	0.00483828667407	0.0222022403087	0.136553458243	0.379239154963	0.42948359366
s	0.0364376777972	0.0093880632716	0.0127287924205	0.00561016500469	0.0586025071029	0.0798584944143	0.536174281654	0.261200024387
s	0.0567334312657	0.0186826004239	0.0341905441402	0.00694226966823	0.149642569034	0.0820585664714	0.320345357218	0.331404701462
o	0.0297592645219	0.0192098421413	0.0455026170467	0.00401481498941	0.143769118011	0.112279167157	0.245855005739	0.399610180487
</S>	0.0154084334109	0.0143567305707	0.0385299620234	0.00257646064471	0.0878525465055	0.142608413578	0.259617352869	0.439050060244
