 	dei	genitori	</S>
à	0.711495205	0.133510741	0.15499402595
t	0.647129871667	0.203147471	0.149722632617
t	0.625006593889	0.2258032213	0.149190174772
u	0.868738067963	0.0781498025333	0.053112111324
s	0.627491550654	0.0932956219778	0.279212806275
g	0.544769204885	0.100088625659	0.355142152092
e	0.807170378295	0.0516693512197	0.141160271697
n	0.580567397432	0.307814708073	0.111617928232
i	0.428256803811	0.404904537358	0.166838682744
t	0.36507728176	0.368637363786	0.266285374248
ò	0.392438987743	0.356710641262	0.250850388083
r	0.421186947248	0.407578387087	0.171234649361
u	0.229754893749	0.483052015696	0.287193079787
</S>	0.219041556874	0.368518957848	0.412439489893
