 	che	vende	buon	pane	</S>
k	0.11303715	0.40148124515	0.4278320045	0.01706793637	0.0405816428025
a	0.236339496667	0.586364048383	0.1572202645	0.00617254781667	0.0139036333025
i	0.250441222222	0.431662062794	0.251608004833	0.0595226073856	0.00676611893417
p	0.183164600741	0.326028627598	0.360267478278	0.123206172462	0.00733313297806
u	0.29060235358	0.394169979199	0.221094878426	0.0874884175673	0.00664436082602
l	0.274253031193	0.361057623066	0.104183460809	0.213337752602	0.0471681141087
ì	0.262301600398	0.249599237689	0.171009745936	0.255604902567	0.0614844970362
t	0.296624693466	0.222476122563	0.282039125312	0.165766195889	0.0330938580121
s	0.251277041155	0.387318354188	0.203293079104	0.135691754563	0.022419806504
o	0.379661523718	0.473531098063	0.0902533687013	0.0464166055877	0.0101374395347
m	0.347455497906	0.317748052688	0.0663951445671	0.262658389996	0.00574293877823
ì	0.174836922635	0.190752455563	0.284553044856	0.343999366999	0.00585820665941
k	0.119440539212	0.111540547188	0.432629468285	0.329503526	0.00688587855314
a	0.212888438071	0.110448386396	0.298349669428	0.319050639167	0.0592628441844
l	0.225834241024	0.114088933465	0.163041074143	0.419678556889	0.0773572125615
ò	0.0880308286747	0.0493547160883	0.168838849048	0.54763478563	0.146140852021
</S>	0.0496497843373	0.0261756984441	0.251301974524	0.421974972815	0.250897591011
