 	il	morto	vuole	pianto	</S>
o	0.512426488	0.29640232903	0.182242829265	0.001284772065	0.0076435525
p	0.209958166	0.454227859677	0.280298349755	0.0445346896883	0.0109808828333
e	0.11306066	0.606460069892	0.210751965252	0.0588636370294	0.0108636290778
s	0.0537687242333	0.527564836631	0.119695507084	0.24815643281	0.0508144698259
a	0.0579609389778	0.485903525544	0.0815044656947	0.31110789787	0.0635231135286
m	0.0737379783259	0.503272545181	0.0765726918982	0.111389694223	0.235027034763
m	0.0417616777753	0.43817070506	0.0816448682994	0.145926889408	0.292495827888
è	0.0207342662584	0.477240178353	0.251295210433	0.152705138003	0.0980251579613
n	0.164528139419	0.387912516118	0.350907346811	0.0570326038677	0.0396193616858
o	0.26506270314	0.448582338706	0.233764348937	0.0318363042892	0.0207542935286
t	0.145411535105	0.361708660802	0.133720404839	0.336951034763	0.0222083808095
è	0.056796890427	0.181653288167	0.251642903473	0.483805811588	0.0261011269365
l	0.244723881476	0.139548709389	0.320111027824	0.219833189196	0.0757831889788
i	0.337605367159	0.188719746463	0.251789509275	0.130505078399	0.0913803028263
g	0.172170029053	0.196336205488	0.208747657425	0.0997606647997	0.322985440775
l	0.085001392351	0.143897415163	0.106857721475	0.2443698436	0.419873616925
a	0.0370664532837	0.120053134721	0.084764613825	0.588785267867	0.169330532308
m	0.0274608755946	0.0736433565737	0.053147420275	0.514780379289	0.330967967436
m	0.0312344798649	0.134030204191	0.0384774047583	0.390565163096	0.405692724145
è	0.020224841055	0.130931660397	0.165643729253	0.517462854365	0.165736910382
n	0.316983258118	0.0645576714657	0.196464843084	0.360858172988	0.0611360411273
o	0.415902647839	0.0394330528219	0.090454203028	0.403491479196	0.0507185923758
</S>	0.208912016619	0.024773236411	0.074951144514	0.624787939598	0.0665756586879
