 	avete	cucinato	le	verdure	</S>
i	0.497134939	0.124275227	0.357411491415	0.00161616915	0.0195622436775
m	0.1787090436	0.148480687333	0.453178940472	0.211884892517	0.0077464721775
a	0.1828124658	0.155464360778	0.346013030157	0.282920974606	0.0327891792258
r	0.1850220742	0.155069285593	0.474214150052	0.137987545302	0.0477069257419
è	0.0895752236667	0.376114043864	0.422270891017	0.0880053404673	0.0240344783473
t	0.0616333512222	0.499492811288	0.375285671339	0.0503429755224	0.0132451732158
s	0.0266267118074	0.328253867096	0.587129457113	0.0486547051741	0.00933525654727
a	0.286427582002	0.228506392365	0.450795992371	0.0294855753914	0.00478449149109
t	0.37278327878	0.116800947455	0.245484017457	0.25967373213	0.0052580434637
o	0.376949657706	0.0736969691517	0.183967572486	0.338339729377	0.0270460269546
l	0.378347987362	0.0516714200506	0.110972307495	0.382510478459	0.0764977523182
a	0.244146323914	0.0349545603502	0.131086285832	0.398179316153	0.191633484106
l	0.199405599878	0.0255346540167	0.118958941544	0.169835350384	0.486265438035
à	0.0870564908663	0.179833955239	0.103718790115	0.090834481128	0.538556262678
c	0.049603723922	0.23111571632	0.0979485374383	0.364785119709	0.256546876393
h	0.0234997432739	0.10340115668	0.0462174408794	0.737305539903	0.089576095631
a	0.018450436758	0.102058992227	0.258118064626	0.560893249968	0.060479257877
n	0.00980221519223	0.0755038077757	0.315663447775	0.531809353323	0.0672211662923
a	0.0069938606703	0.0328261636252	0.122899138158	0.504547870441	0.332732941097
</S>	0.00908654183515	0.0275598878126	0.087417983079	0.273298814221	0.602636770549
