 	vado	vestito	</S>
i	0.54183097	0.418677163	0.0394918625
p	0.483417636667	0.466141201	0.0504411441667
à	0.681266845556	0.249128033667	0.0696051057222
o	0.536541468185	0.417131267889	0.0463272665741
n	0.186358651328	0.574356605963	0.239284759191
d	0.370972372709	0.316910996321	0.31211666573
i	0.545843804236	0.173058539774	0.281097684577
m	0.298899005745	0.432906919925	0.268194100526
è	0.193359906248	0.643347806642	0.163292295842
n	0.360815935416	0.516645408881	0.122538623614
o	0.343530270805	0.396145566294	0.260324149538
</S>	0.198415923902	0.350326218147	0.451257874769
