 	vengono	vestiti	</S>
è	0.90511495	0.06906739	0.025817644465
r	0.658055286667	0.26421531	0.077729374465
k	0.586870798889	0.318253292333	0.0948758741783
u	0.693847132963	0.251556713111	0.0545961640828
t	0.398189223788	0.504977831037	0.0968329713609
t	0.459975854063	0.449308348679	0.090715805787
e	0.744864564688	0.17844330456	0.0766921305957
n	0.514860196529	0.228529908187	0.256609883532
d	0.487915740476	0.232600987396	0.279483234511
i	0.584660093492	0.112687217132	0.302652651504
m	0.320722975497	0.350806012377	0.328470977168
è	0.169361996166	0.499194197459	0.331443785723
n	0.330936145389	0.35615008582	0.312913768908
a	0.376575206463	0.23592019394	0.387504596636
</S>	0.240190210232	0.14901208497	0.610797698318
