 	io	voglio	che	Maria	venga	qui	</S>
e	0.485448669959	0.003764681635	0.016434958815	0.051663971598	0.3259788725	0.1111344405	0.0055743695
v	0.164156491092	0.0282606139683	0.0473736462717	0.105405333866	0.535970024167	0.1164723255	0.00236157232667
ò	0.058302509964	0.103102521323	0.116894928757	0.095333814622	0.412309510389	0.162700273833	0.0513564369356
t	0.0229074610213	0.116707871774	0.267804096252	0.167119831541	0.17023799113	0.184604031278	0.0706187228119
è	0.0175986552404	0.326597245258	0.295798378751	0.19016318218	0.0692601342767	0.073946054755	0.0266363364906
l	0.0518311240801	0.388063172753	0.151345318917	0.07237234606	0.0952951666589	0.231459259247	0.00963357831687
o	0.158730944693	0.194621008584	0.168896352306	0.08565066902	0.104121059433	0.283997401582	0.00398258357229
n	0.156224853924	0.153394741195	0.243688500769	0.166750613007	0.174165437024	0.0977648770273	0.00801102989076
a	0.0631617923347	0.105953928732	0.327508816923	0.259195354336	0.199139260341	0.0356794041091	0.00936147796692
r	0.0322475673882	0.061883346244	0.282627474874	0.212318870445	0.364677138114	0.031908282803	0.014337301659
t	0.0137384794061	0.0593760220813	0.178725217525	0.270003255815	0.421867318705	0.033918586601	0.0223711088863
i	0.0139005401354	0.0783535273604	0.338180572508	0.396213641938	0.144682006048	0.014612108859	0.0140576332288
e	0.011159996595	0.0483075526535	0.309627694969	0.243450960313	0.113470642496	0.256647904945	0.0173352596763
M	0.0767250507482	0.179134961084	0.10912950979	0.087873158771	0.160865734165	0.358145578315	0.0281259932254
a	0.190529810249	0.237136580361	0.19938071393	0.100968801924	0.111731925622	0.140229860973	0.0200223329085
r	0.155826802483	0.0961057411203	0.225737488543	0.101636377941	0.175365362774	0.195217305192	0.0501109528028
ì	0.057795816561	0.0473347513734	0.231239413414	0.0808259166137	0.196928466658	0.266207895064	0.119667724268
a	0.0247674750427	0.0292266142578	0.232842582125	0.0731411406246	0.0857623896193	0.421930865021	0.132328934756
e	0.00826848081443	0.0103200419759	0.077829384374	0.0246814334165	0.0579193048731	0.739868921674	0.0811124329187
t	0.00568123688268	0.0160286374153	0.0273670350037	0.00939396159383	0.0447293116244	0.712214140558	0.184585688973
t	0.0115107256276	0.0533491291384	0.0433152012012	0.0427378361979	0.0312470945748	0.575813403519	0.242026639658
ù	0.0123532268759	0.0597979243795	0.0610014644004	0.0623947487326	0.0123483495583	0.42160004784	0.370504256553
</S>	0.00891188143795	0.0397387091898	0.0511744952002	0.0457357993663	0.00814030077915	0.26799995892	0.578298878276
