 	è	che	sono	usciti	</S>
è	0.34863075	0.18614270675	0.273209493	0.00427596535	0.187741033815
n	0.145542491177	0.26617983225	0.476281664333	0.0493942180167	0.062601755465
a	0.052063361569	0.37775042075	0.484736904778	0.0645753394722	0.0208739769841
g	0.0219958658563	0.341742822917	0.286365240259	0.340264516624	0.00963158584047
u	0.0115060361188	0.204322546972	0.33330363542	0.443844996875	0.00702281468016
ì	0.00703271678293	0.157097623657	0.655318998473	0.170112778958	0.0104379102934
k	0.00996022783764	0.0662315978857	0.537720276158	0.338696401653	0.0473915027645
a	0.0226468902792	0.0755930612952	0.369034558719	0.460724623884	0.0720008729215
n	0.0232199170931	0.0733195175984	0.30645777124	0.399356854628	0.197645952974
e	0.016571474531	0.0372673876995	0.15110353208	0.434130101543	0.360927524325
</S>	0.0158246170155	0.0344931058498	0.14461156604	0.413632975772	0.391437762163
