 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.064572709	0.0379755355	0.1468638325	0.51767485	0.084505083	0.021663278979	0.126744684804
n	0.0279304419467	0.0861859921667	0.329842914167	0.473878303333	0.0326455579767	0.00722394451937	0.0422928152705
a	0.0157198215956	0.165319360722	0.473773814722	0.317667857778	0.0109695847822	0.00240823389694	0.0141413091672
v	0.0118925654985	0.145272603574	0.435648981574	0.396984282593	0.00405713294073	0.00108249021576	0.00506194286607
o	0.195678000133	0.121793064525	0.299729850525	0.365119254198	0.0143789751802	0.00105505967192	0.00224578235536
r	0.260695410878	0.0977282138417	0.150495654175	0.188370448066	0.0510155250601	0.00932841075731	0.242366322652
à	0.097470637126	0.0407656969472	0.063991212725	0.100960981355	0.355016298353	0.0193051035858	0.322490087717
s	0.0404474248753	0.0697664423157	0.088385431575	0.254838095785	0.423339218584	0.0150337441953	0.108189659306
o	0.0862790047918	0.248606807439	0.152236333858	0.320477829595	0.148014966995	0.00662989259843	0.0377551525687
t	0.109385861597	0.291762309146	0.156685164619	0.253281457532	0.103833967332	0.0320652023995	0.0529860204229
o	0.049893459199	0.290398866382	0.20577633154	0.273558299177	0.0834386127107	0.0399384270265	0.0569959671076
t	0.0285945883997	0.259421680461	0.182191563513	0.166555143059	0.0569437878369	0.102286355236	0.204006846003
s	0.0206003134666	0.14094288182	0.126911547504	0.24065021102	0.050897970279	0.129116073079	0.290881000334
o	0.0158372598222	0.101883807607	0.106626672835	0.258970265007	0.0883483744263	0.13184941236	0.296484198445
m	0.0586923112741	0.171878709536	0.128541194612	0.134208029669	0.110591534809	0.131113476787	0.264974730815
ì	0.0673541253247	0.191216771612	0.134037686537	0.0970304165563	0.0838608749363	0.310158221596	0.116341884938
k	0.0316526240082	0.065159133004	0.047632257879	0.0497856315188	0.0715781276454	0.578364920532	0.155827274979
a	0.0231942383361	0.0236494389347	0.0187253654597	0.0276058265063	0.0469266695485	0.614270773511	0.245627688326
i	0.0113878078587	0.00989993831157	0.0120896109532	0.0211706001688	0.0651577308495	0.615211957837	0.265082366109
m	0.0124694100329	0.103686197537	0.133676713984	0.0957271813896	0.0706959352832	0.410629325612	0.173115220636
è	0.0127716808563	0.134070432142	0.170004647905	0.114539668963	0.0440062217611	0.449183648204	0.075423677812
r	0.0141298357974	0.0513411166773	0.073508602545	0.096317884821	0.116990082254	0.595723876068	0.0519886069373
i	0.0151411418991	0.0237825959158	0.0413223925683	0.0898527396737	0.140184258085	0.488755298689	0.200961580979
</S>	0.00845063089955	0.0119445739929	0.0207203088641	0.0451128969368	0.0800599750425	0.473696269344	0.360015340489
