 	vado	cercando	un	forno	che	fa	rustici	</S>
a29	0.0002239222	0.0004251952	0.0041268654	0.06105525	0.054210592	0.0014309702	0.63088584	0.2476414
a31	4.9611447e-08	0.00017957628	0.0038497692	0.78553045	0.13092966	0.02574518	0.018825922	0.03493944
a8	7.751026e-06	0.00016792449	0.01033405	0.9395434	0.028654166	0.0005317335	0.0016714641	0.019089455
a31	1.0682089e-06	0.00021794683	0.0061012274	0.84370637	0.12545934	0.0027511665	0.003963367	0.017799415
a23	3.921067e-06	0.0001573707	0.00068750227	0.030247414	0.46544674	0.022906441	0.12583889	0.35471174
a31	2.1057792e-08	0.00066059857	0.008986904	0.07516044	0.70596963	0.09820039	0.04958978	0.061432306
a10	8.0234e-06	0.008720888	0.022713613	0.07317531	0.4335896	0.057457916	0.20949554	0.19483915
a31	8.260092e-09	5.838683e-05	0.0020962488	0.08723536	0.8220957	0.05249979	0.025172038	0.010842436
a24	2.425503e-06	0.009977918	0.065471664	0.15505606	0.3136493	0.02411722	0.2759046	0.15582077
a31	5.233375e-08	7.783408e-05	0.002705043	0.14269102	0.80054617	0.002950047	0.0053549176	0.045674883
a18	1.9720086e-07	0.012241962	0.06550367	0.0966307	0.08186344	0.009306768	0.403212	0.33124128
a31	5.1171963e-08	0.00032924963	0.00719794	0.20124611	0.6991282	0.011135322	0.04596371	0.034999374
a8	7.445664e-08	0.004355837	0.07977721	0.078850165	0.017787809	0.0013166384	0.23547187	0.5824404
a31	2.7912733e-07	0.0011621597	0.10507265	0.4139533	0.14663173	0.0025364363	0.08669137	0.24395207
a29	3.086807e-08	0.00096978724	0.036188133	0.032701038	0.0026096876	0.000106701424	0.045954492	0.8814701
a31	1.5503369e-07	0.0005654917	0.020329095	0.31881467	0.35016143	0.0025489705	0.05354973	0.25403047
a21	1.8060997e-09	0.00016536958	0.005272837	0.006133567	0.00044917274	1.7458273e-05	0.0109187085	0.9770429
a31	3.3118123e-08	0.0009692732	0.007248891	0.10557878	0.5044057	0.0028700316	0.04653328	0.33239406
a38	1.2801164e-10	3.8337126e-05	0.0008091409	0.0013763772	0.00013706603	4.917608e-06	0.0037604799	0.9938737
a10	2.0449187e-09	0.00017201505	0.0042453944	0.014516097	0.0065685036	0.00033648201	0.037010435	0.9371511
a39	1.0583989e-10	0.00030132572	0.0002958451	0.0008879014	0.028910624	0.0050094794	0.20134404	0.76325077
