 	il	ladro	è	entrato	da	qui	</S>
a31	5.748353e-07	6.290856e-06	0.17049114	0.10770938	0.26638424	0.34491393	0.11049446
a17	4.4524313e-08	2.1550074e-11	1.3309403e-05	0.001935229	0.16731466	0.8230095	0.0077272896
a37	3.9564393e-12	3.9367957e-14	0.0011675407	0.0016041395	0.038526952	0.9470081	0.011693258
a35	8.396057e-12	6.9962704e-13	0.00072029023	0.0011276039	0.038253274	0.9516864	0.008212495
a18	4.867502e-11	1.3231058e-11	0.002409212	0.0029368394	0.08541555	0.901387	0.007851449
a31	1.0990509e-12	7.155976e-12	0.0002313149	0.00058273337	0.045624297	0.94360554	0.009956067
a24	3.150636e-11	1.7800601e-11	9.444521e-06	7.604847e-06	0.00097374857	0.99621946	0.0027897663
a31	1.025665e-13	4.1786136e-13	2.6816528e-07	2.5868114e-06	0.00022192973	0.92982	0.06995519
a16	5.3297e-12	6.7177356e-13	4.935595e-07	8.0376634e-07	0.00024148628	0.9783036	0.021453613
a31	3.9678394e-15	5.9052338e-15	2.4677347e-09	2.7778597e-08	3.2281427e-05	0.97842205	0.021545637
a46	2.5649178e-15	1.1561338e-16	8.81357e-10	3.3925283e-09	8.725707e-06	0.94387937	0.056111887
a31	1.7889347e-17	3.03176e-17	2.126596e-11	3.4998385e-10	1.9275649e-06	0.9621696	0.03782854
a46	1.2344428e-16	1.0514129e-17	4.5144166e-11	1.7487925e-10	9.019845e-07	0.7875117	0.21248738
a31	3.1299233e-16	8.900248e-16	2.988277e-11	2.0739992e-09	6.0284174e-06	0.91689116	0.08310276
a35	7.833277e-16	1.00972184e-16	5.1418387e-11	6.2727695e-10	1.9338186e-06	0.7425655	0.25743255
a31	3.74016e-15	8.217048e-15	1.7039483e-11	1.1123575e-08	2.3583436e-05	0.90309256	0.09688387
a8	5.1032587e-15	5.8381815e-16	6.731294e-11	2.2410775e-09	3.8133744e-06	0.6556561	0.34434006
a31	1.2521917e-14	2.0446117e-14	3.8772232e-11	3.126978e-08	4.479205e-05	0.82412857	0.17582658
</S>	1.0992608e-14	1.1321165e-15	3.8306976e-11	1.9307291e-09	3.3725175e-06	0.56109715	0.43889952
