 	credo	che	stanno	ancora	svegli	</S>
a31	1.0682312e-06	0.009987688	0.5323189	0.34096476	0.017185139	0.09954246
a20	9.283681e-09	0.00043432703	0.037600636	0.5429272	0.30835477	0.11068307
a21	3.3783437e-10	0.010672079	0.32814813	0.41892186	0.15918164	0.08307628
a31	9.483083e-10	0.007215222	0.45900634	0.41918302	0.063372344	0.051223133
a37	8.573218e-05	0.04807644	0.2998477	0.562732	0.07727996	0.0119782165
a31	1.586083e-08	0.0032973646	0.3329261	0.62116903	0.033428874	0.009178706
a13	1.1761981e-06	0.0030028087	0.1334644	0.7889998	0.038171466	0.036360417
a31	5.1902253e-11	3.6968886e-05	0.10694401	0.85431886	0.023504453	0.015195698
a20	5.04155e-10	3.5925226e-05	0.019943956	0.377194	0.10820891	0.49461728
a31	2.5287157e-14	2.578705e-09	0.0013297357	0.6926028	0.069680184	0.23638727
a39	3.2863818e-14	5.9744827e-09	3.7612775e-05	0.0042296844	0.016257934	0.9794748
a18	8.322448e-17	3.6255482e-12	2.0133293e-06	0.02453061	0.02870443	0.9467629
a33	9.604427e-17	1.0893383e-11	8.711393e-06	0.01652288	0.07002618	0.91344225
a39	1.303628e-15	6.1798976e-11	1.5115448e-05	0.011246858	0.045393564	0.94334453
a31	1.7075381e-16	5.582389e-13	1.5190723e-08	0.00105159	0.007052278	0.9918961
a39	7.698891e-18	1.7411016e-13	7.3338504e-09	7.618882e-05	0.00053667964	0.99938715
a33	6.4919596e-17	1.5648191e-13	1.2813952e-08	0.00058472255	0.0035665177	0.9958488
a8	6.2970064e-17	4.644814e-13	1.2522051e-07	0.0008201589	0.0033529422	0.9958268
a31	1.8370867e-16	3.1467858e-12	3.3026663e-06	0.0051115616	0.01222291	0.9826622
a7	1.04786075e-16	1.0016701e-12	4.4534391e-07	0.0014352113	0.0045978054	0.99396646
a31	5.8826425e-17	8.874875e-14	3.8323145e-09	0.00024739897	0.0012163755	0.9985362
a3	6.3003597e-18	4.0015995e-14	2.3480722e-09	4.2848875e-05	0.00024165501	0.9997155
a31	8.9263085e-17	8.418548e-14	1.4800082e-10	2.0465206e-05	0.00017692194	0.99980265
a13	2.6076722e-18	1.5154095e-14	2.9580158e-10	7.879125e-06	6.686038e-05	0.99992526
a20	1.6681052e-17	1.4026234e-14	4.6626925e-09	0.00022319243	0.0011099493	0.9986669
a7	1.6498011e-17	1.4413797e-14	3.838019e-09	0.00019123578	0.00083464815	0.9989741
a35	1.83944e-17	2.4048446e-14	9.553423e-09	0.0003075014	0.0010804897	0.9986119
a31	4.881778e-17	1.1733533e-13	1.2331836e-07	0.0010624707	0.0026496064	0.9962878
a20	1.1372468e-16	1.2918263e-13	1.3227476e-07	0.0018480401	0.00519357	0.9929583
a31	3.3309812e-17	1.8956631e-14	2.0880964e-09	0.00011899801	0.0005275788	0.99935347
</S>	1.1314482e-17	7.1604515e-15	9.438453e-10	9.995846e-05	0.00051167526	0.99938834
