 	forse	non	li	ha	a	casa	</S>
a28	1.3339314e-05	0.00811623	0.0919309	0.009037525	0.05729598	0.23347558	0.60013044
a10	3.5344843e-07	0.0049271323	0.1616023	0.08223564	0.5575122	0.18492445	0.008797832
a31	1.4010415e-11	0.0002085611	0.0018087578	0.0014607644	0.6942726	0.2890963	0.013153033
a21	7.537983e-10	0.000119233206	0.0030859069	0.0013658062	0.8738218	0.11419224	0.007414954
a37	3.7601185e-12	0.00011642377	0.002715843	0.0012167664	0.7910375	0.1819971	0.022916382
a31	7.3606686e-13	1.7284112e-06	0.00019072017	0.00042881357	0.90609497	0.08038312	0.012900682
a37	7.9025765e-11	2.1052237e-07	2.8515338e-05	0.000548449	0.96990865	0.029383294	0.00013090289
a31	1.8752071e-13	7.1333924e-12	7.3194677e-09	3.7611321e-06	0.7065214	0.29038277	0.0030921374
a37	3.2007084e-11	9.772056e-09	9.655046e-08	6.8208897e-07	0.08314902	0.8966285	0.020221604
a31	4.1398532e-14	1.6902164e-11	1.1894251e-10	5.755511e-08	0.04538052	0.9240041	0.03061539
a21	3.2699804e-12	7.778044e-10	8.69402e-09	2.2637925e-08	0.008535252	0.77844316	0.21302153
a31	1.9497123e-15	1.0112564e-11	3.507793e-11	7.027475e-09	0.00738258	0.9385562	0.054061156
a20	5.778049e-14	7.0153605e-11	1.3070278e-09	1.5628311e-09	0.0006337111	0.28537774	0.71398854
a31	1.0425949e-15	2.4867804e-11	3.4049694e-11	2.8775142e-09	0.0011430806	0.91376626	0.08509066
a37	1.9233277e-16	1.7818539e-12	1.502598e-10	4.3262383e-10	0.00028807094	0.23072043	0.7689915
a33	3.2187388e-18	1.6130913e-13	6.296501e-12	8.1331314e-10	0.00074234564	0.87348753	0.12577014
</S>	2.0903424e-15	4.6910868e-11	3.0082483e-09	2.6834164e-07	0.005259251	0.53067696	0.46406358
