 	quando	io	divento	vecchia	vendo	la	casa	vendo	la	casa	a	Trieste	vengo	e	abito	a	Martano	</S>
a23	3.1609725e-06	3.1252846e-06	0.00022084198	0.014867212	0.033046406	0.005833602	0.0039484175	0.035950057	0.0068861325	0.017517028	0.03984417	0.013897393	0.01381021	0.0013930037	0.064483844	0.022994868	0.71460104	0.010699483
a31	9.206913e-08	1.1929559e-07	1.3727154e-06	1.8327813e-05	8.057896e-05	0.00023698644	0.0025906847	0.0031333389	0.007892226	0.029037697	0.08221359	0.0043320605	0.15864125	0.0022360121	0.63153136	0.036085274	0.034961972	0.0070071174
a5	7.550395e-10	1.04878405e-10	1.08308114e-07	9.6024145e-08	3.884091e-06	3.9656875e-06	4.5167093e-05	0.000150639	0.00028732975	0.0009851909	0.0006116443	3.8431294e-06	0.001998828	5.6168246e-06	0.9748086	0.017989032	0.0030575783	4.8537324e-05
a7	2.5542787e-11	7.6982e-10	2.680677e-06	9.57583e-07	8.603589e-06	6.2660583e-06	4.005135e-05	8.304374e-05	0.00015497902	0.0005208675	0.0015196365	0.00035943234	0.018314047	5.074765e-05	0.9221405	0.0372021	0.019397357	0.00019880278
a37	4.0486878e-11	1.4274649e-09	2.7103295e-06	6.0534912e-06	3.7074602e-05	2.4783123e-05	6.0199538e-05	9.332205e-05	0.00011821192	0.000238878	0.00092862395	0.0061994935	0.06368647	0.0010504359	0.5927873	0.18293427	0.15112084	0.0007113206
a7	9.430238e-11	8.781645e-09	2.3963205e-06	1.9301979e-05	0.00043378666	0.00026572056	0.00044883753	0.00077695673	0.00070381485	0.0009657753	0.001124221	0.0068868827	0.048954863	0.005549168	0.17698023	0.33068675	0.4235025	0.0026987987
a20	2.4368305e-10	7.1135105e-08	7.6149768e-06	1.771182e-05	0.0020718456	0.0015209785	0.0028056647	0.005702588	0.0045510307	0.005679156	0.0030215404	0.0055027837	0.038941063	0.0108845765	0.0680536	0.30065662	0.54108053	0.009502595
a31	5.4564603e-10	2.815886e-07	2.4940993e-05	1.9103054e-05	0.0032460983	0.0031460254	0.006847647	0.014623391	0.011618235	0.014262807	0.0052723405	0.0032591233	0.026782094	0.00810388	0.04467762	0.2722628	0.568392	0.017461587
a17	9.874052e-10	4.6499244e-06	0.003297267	0.007146543	0.014081937	0.009860828	0.009135958	0.0114032775	0.009524622	0.007019313	0.0031176512	0.00067992613	0.0032287776	0.0013988896	0.0007946728	0.3130535	0.58606064	0.020191519
a29	7.3560313e-10	2.3952841e-06	0.00079624925	0.00034565706	0.029023755	0.016025681	0.029259568	0.08343722	0.048626766	0.052908413	0.0127919875	0.0017378856	0.015227882	0.0026217876	0.012772713	0.1418593	0.5188715	0.033691257
a39	8.6441e-11	2.1122482e-07	0.0002498287	0.00011529642	0.033234105	0.019197611	0.043054048	0.1248661	0.085479826	0.09371169	0.013740355	0.00033151088	0.008644652	0.0016515119	0.0073540597	0.08079256	0.3678666	0.11971009
a31	5.9925474e-11	1.2841342e-07	0.00017879189	6.59954e-05	0.009740081	0.013483629	0.04274156	0.0830802	0.077590115	0.08654601	0.014317516	0.00012410976	0.005986908	0.0006901451	0.0061285184	0.04131387	0.4088735	0.20913896
a3	6.1118888e-12	1.2324053e-07	0.0012518243	0.0037451189	0.06052114	0.018866753	0.017531522	0.04882195	0.027074274	0.019233476	0.004080211	0.00010037485	0.0014937442	0.00014353207	0.00023118546	0.051731065	0.6340671	0.111106634
a29	1.5998637e-10	1.0125207e-06	0.00085681165	0.00022716264	0.0061682905	0.010322479	0.031820066	0.05815095	0.054116413	0.064468995	0.020917457	0.00019768397	0.008398885	0.00040569506	0.012321769	0.06835983	0.57720923	0.086057276
a20	6.761635e-12	2.367878e-08	0.00015544839	0.0001343955	0.03443532	0.028712507	0.05951756	0.12847649	0.100337826	0.09001437	0.011365697	3.1849537e-05	0.0024002853	0.00012887364	0.0013279079	0.018917065	0.28790298	0.23614143
a31	2.7484485e-11	4.3682963e-08	0.0003619512	0.00021645622	0.0019012731	0.004757738	0.018796738	0.020175468	0.028086256	0.034278665	0.013648053	6.7377e-05	0.0049180407	0.00015104034	0.0036598735	0.024701249	0.5464219	0.2978578
a13	7.263072e-13	1.4601821e-08	0.00062741386	0.00093922793	0.123405226	0.024027742	0.026339022	0.121068425	0.054961864	0.038390916	0.0035971717	1.4247986e-05	0.0005166555	1.6483044e-05	4.5362252e-05	0.0066520856	0.3540375	0.24536069
a29	3.4380086e-11	1.6590565e-07	0.00048319722	0.0003883191	0.00351353	0.011070045	0.034360453	0.03473444	0.042930327	0.046219204	0.02145089	0.00012386923	0.0052112243	0.0001462419	0.002516675	0.020861683	0.5598164	0.21617329
a41	9.29537e-13	3.9596944e-09	7.9804944e-05	0.00013082082	0.013546432	0.024608217	0.0499234	0.065872945	0.06151223	0.04704898	0.008394949	1.5754726e-05	0.0018407421	3.9762243e-05	0.00068261015	0.010064871	0.38967004	0.32656837
