 	che	non	li	aspetiamo	</S>
a20	5.5158603e-06	9.9545025e-05	0.0010997576	7.0081132e-06	0.9987882
a8	0.004314885	0.011475467	0.063967794	0.05505924	0.8651826
a7	5.1176954e-07	3.8413164e-05	0.028440159	0.004084615	0.96743625
a35	1.7939701e-08	8.214942e-06	0.019036902	0.0012512429	0.97970355
a46	2.335097e-10	6.3665546e-08	0.001735811	3.4654047e-05	0.99822944
a31	3.257029e-12	6.3914746e-10	0.0001269715	1.6206388e-06	0.9998714
a11	9.010777e-13	2.5998276e-11	4.943519e-06	1.1813451e-07	0.999995
a31	3.8614112e-13	1.084484e-10	5.579769e-07	9.147312e-08	0.9999994
a0	5.535262e-13	2.8859257e-10	1.7870707e-06	2.1878364e-08	0.9999982
a31	1.8044599e-12	2.2760274e-08	4.1526342e-05	2.0385752e-07	0.9999583
a30	3.62329e-14	2.4384492e-09	8.9660345e-05	1.012421e-07	0.99991024
a0	2.6738052e-13	7.903516e-09	8.842838e-05	1.125038e-06	0.9999105
a31	4.0714768e-13	6.0356795e-09	3.1727155e-05	9.773275e-07	0.99996734
</S>	7.604949e-14	1.3678927e-09	1.301305e-05	6.3658524e-07	0.9999863
