 	che	sapeva	che	non	può	fare	il	bagno	</S>
a31	0.00027880055	0.0005524685	0.002540191	0.10661937	0.038675837	0.00028560788	0.21843982	0.6101245	0.022483313
a20	5.280734e-05	0.000108018925	7.8447134e-05	0.00019445883	0.0032838066	0.020055817	0.5219864	0.076990105	0.37725008
a28	8.1224144e-08	6.3222033e-06	2.255796e-05	0.000242974	0.043792605	0.46861073	0.21802057	0.022698633	0.2466055
a31	1.0582578e-07	1.7097154e-05	0.00010970646	0.000624911	0.027798792	0.34853292	0.11003858	0.028922748	0.48395512
a39	0.0005812067	0.031353574	0.38593665	0.44769093	0.02688795	0.0015133948	0.021549612	0.06699696	0.01748971
a24	9.298991e-07	0.0003994756	0.02457074	0.09237077	0.67274916	0.05014185	0.09407132	0.05428029	0.011415453
a31	1.6936666e-10	2.0384651e-07	0.00025715368	0.0010129636	0.30629948	0.0042749243	0.54032844	0.13114841	0.016678529
a17	3.2565627e-11	8.2033176e-07	0.021358691	0.06557514	0.051316895	0.00028506448	0.1691483	0.6358208	0.05649423
a31	1.4101298e-12	2.015472e-09	1.2977719e-05	4.6332152e-05	0.03444547	0.00055345363	0.8276884	0.12168628	0.015567103
a39	1.4727214e-13	1.1311558e-09	0.00054229534	0.0031903898	0.012732247	5.6408215e-05	0.116932034	0.2553665	0.61118007
a41	2.2432581e-13	1.533818e-10	1.8105364e-06	4.3798045e-06	0.0017145814	4.4778295e-05	0.7352137	0.15027043	0.112750284
a31	7.120082e-15	3.6400297e-12	2.3704747e-08	4.0283527e-07	3.2412467e-05	7.475577e-06	0.06262198	0.85235035	0.08498731
a33	1.1581233e-15	5.214605e-13	6.12359e-08	6.389867e-07	2.0581658e-05	1.241948e-06	0.012315383	0.09008413	0.89757794
a31	9.64561e-15	9.005385e-12	9.571365e-08	1.8662503e-06	2.5784371e-05	5.843849e-06	0.029589783	0.83303016	0.1373464
</S>	8.3016e-16	1.6020793e-13	9.783837e-09	1.0023771e-07	3.2643845e-06	3.0940265e-07	0.0048846398	0.07637664	0.9187351
