 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.00031505036	0.0007117742	0.0007662609	0.029206028	0.22272228	0.22486399	0.04976122	0.06156809	0.3908249	0.01926042
a37	2.4994508e-05	5.129719e-05	0.00045938825	0.0026435263	0.06679953	0.010422551	0.2912754	0.549652	0.06500668	0.01366466
a31	5.992013e-09	4.63185e-09	1.9323991e-07	5.4169228e-05	0.23815253	0.42145342	0.25072515	0.08174495	0.0053380374	0.0025316435
a20	1.4727641e-06	2.0799063e-05	0.00018695752	0.0034253374	0.17239846	0.38089192	0.21032482	0.19822897	0.031627484	0.0028938297
a31	2.4262903e-07	1.1714299e-06	4.8269805e-05	0.0038583947	0.16892084	0.67092925	0.12589003	0.02793456	0.0017944974	0.0006226543
a13	4.5649802e-05	0.0011441723	0.02063789	0.21403052	0.27714425	0.1622289	0.11863403	0.11132218	0.090481035	0.0043313084
a31	1.27106e-06	6.090583e-06	0.00047292293	0.03037514	0.27787313	0.4730452	0.1732802	0.039809078	0.004777869	0.00035900788
a20	4.299974e-07	4.0411785e-05	0.0022056683	0.026935156	0.0046895216	0.0025647285	0.02810184	0.16952004	0.7544921	0.011450165
a17	5.002858e-08	7.9050574e-07	3.7296893e-05	0.0009141959	0.0026422427	0.010184757	0.28220946	0.47324467	0.22457424	0.006192323
a20	1.0405813e-10	4.014573e-09	7.870621e-08	1.9600645e-06	1.088946e-05	0.00016599656	0.03511588	0.24576055	0.5398791	0.17906557
a31	1.2561582e-12	2.9605058e-11	1.2868323e-09	5.645353e-09	2.0803577e-09	8.56974e-08	0.000731968	0.049078874	0.73562765	0.21456139
a20	4.758863e-13	4.171163e-11	8.982448e-09	2.9188868e-07	2.11281e-08	5.2798768e-08	1.9888363e-05	0.004947389	0.35695532	0.6380771
a31	1.1150063e-12	2.7043156e-11	1.7789354e-09	8.980218e-09	4.8794874e-10	4.9055537e-09	6.1169376e-05	0.017931895	0.90895605	0.07305087
a3	4.400863e-14	3.312547e-12	7.9173784e-10	1.7457698e-08	7.82196e-10	2.2900433e-09	1.0556334e-06	0.00042931686	0.0825881	0.9169816
a8	5.450125e-13	2.2410762e-11	3.0242948e-09	2.1762883e-08	4.769521e-10	2.8568696e-09	3.851252e-05	0.012945	0.83515745	0.151859
</S>	2.685441e-13	3.199218e-11	1.4669356e-09	5.0953368e-08	1.24435315e-08	5.4974794e-08	0.00024294438	0.019663272	0.73341066	0.24668305
