 	il	dito	si	gonfiò	</S>
a39	8.7437235e-07	7.3586574e-07	0.00012890421	0.9989467	0.0009228184
a13	0.0025998096	0.0013685721	0.839142	0.04089474	0.11599491
a31	5.6764527e-08	1.0098615e-05	0.5915571	0.39364746	0.014785302
a20	5.48507e-07	4.528108e-05	0.6135102	0.38465875	0.0017852451
a31	1.17109025e-08	2.2961076e-07	0.343957	0.64393365	0.012109122
a11	3.4902143e-07	3.3555768e-06	0.367186	0.6322314	0.0005789154
a31	6.892105e-08	3.0870487e-07	0.002843734	0.9702087	0.02694708
a39	2.135995e-08	1.5295412e-07	0.000812773	0.99862075	0.00056634715
a31	8.1346513e-10	6.169289e-08	4.9502683e-05	0.9873246	0.0126258815
a41	3.2600472e-12	4.6541568e-10	1.6654832e-07	0.99402535	0.0059744446
a46	1.1171183e-12	8.1308105e-10	5.7133275e-07	0.97586924	0.024130207
a31	3.212723e-14	3.3911495e-11	1.7767153e-08	0.92983174	0.0701683
</S>	9.899874e-16	2.6112103e-12	1.8324626e-09	0.5610327	0.43896735
