 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	5.5643322e-06	1.6446103e-05	0.0012348343	0.01362117	0.06840264	0.041039705	0.0001812285	0.09006644	0.14808145	0.25853723	0.3788133
a31	1.1597975e-06	3.786926e-07	7.074582e-06	2.152503e-05	0.00035253863	0.003956955	0.007870857	0.47028446	0.21019359	0.12928416	0.17802732
a20	1.1475375e-05	1.0110244e-06	0.0010848651	0.007414216	0.06501085	0.0064448146	0.00018454235	0.099896245	0.09613251	0.04977728	0.6740421
a13	3.0277545e-07	1.1505433e-06	0.000580525	0.0021937795	0.011454449	0.0016467184	0.0018633293	0.73736256	0.11017507	0.0282488	0.1064732
a37	3.126646e-10	5.1651302e-08	5.6322886e-05	0.0006279139	0.0025970547	0.00062849803	0.0019952427	0.7382522	0.17801553	0.023776613	0.05405055
a31	1.2994541e-12	5.206735e-11	9.832388e-07	0.00021881596	0.003913006	0.00097342004	0.0013964844	0.5566437	0.32408047	0.026002945	0.08677009
a43	1.2744592e-08	1.7328281e-06	0.0042678826	0.04941744	0.057836168	0.006677342	0.00086310215	0.022085486	0.31838483	0.40040737	0.14005868
a31	1.9079512e-11	3.1093045e-11	5.2454186e-07	0.00029207868	0.005502594	0.0102665955	0.0019751547	0.2810349	0.5743149	0.10164017	0.024973108
a24	6.809296e-10	1.5133732e-07	0.0023065023	0.16083522	0.30943266	0.027364884	0.0019851262	0.007907112	0.070632435	0.23485123	0.18468471
a7	6.908622e-11	1.6647628e-10	1.761488e-05	0.0036628374	0.033323996	0.01703364	0.0003673626	0.19941537	0.46241552	0.04954068	0.23422298
a31	7.2900616e-11	7.156085e-11	3.542283e-07	0.0008571786	0.019891	0.010110237	0.00014517544	0.1716818	0.48708817	0.10266737	0.20755875
a13	9.866077e-12	3.7501266e-10	1.3487209e-05	0.034468956	0.56297505	0.011385944	0.0002650718	0.0005900127	0.0031438097	0.01555048	0.3716072
a28	4.2021692e-10	8.576644e-10	6.825063e-06	0.006513972	0.06648418	0.033644512	0.00037567632	0.10994034	0.2796286	0.11713699	0.3862689
a20	1.1913369e-10	1.7277142e-10	5.208618e-07	0.0011959834	0.011139316	0.014966163	8.979598e-05	0.05504473	0.1642811	0.10021874	0.6530636
a31	2.197868e-11	3.954906e-11	2.1086105e-08	8.905392e-05	0.00068324467	0.0014455601	4.371396e-05	0.033422574	0.18389554	0.2086132	0.5718071
a37	3.7049294e-13	3.8916466e-12	1.4816943e-07	0.0027882024	0.08295937	0.0027862645	8.047171e-06	6.5173415e-05	0.00026300282	0.002207654	0.90892214
a1	4.701455e-11	1.4751386e-10	3.4826942e-07	0.0005709802	0.0023763971	0.0100339055	0.00026822818	0.05186976	0.1698031	0.18051204	0.5845653
a28	2.0040211e-13	9.674884e-12	1.2043151e-07	0.0008093328	0.014179877	0.0046629976	4.3696407e-05	0.0011826666	0.013348434	0.14716111	0.81861186
a1	4.812927e-12	1.5038281e-11	8.200752e-09	5.962023e-05	0.0003258953	0.00032512806	2.0937474e-05	0.01487107	0.06739685	0.17341305	0.7435875
a28	5.880438e-14	3.1601818e-13	4.268407e-10	2.3850194e-05	0.00057944533	0.00027768145	5.2232926e-06	0.00026709767	0.0027559951	0.029824205	0.9662665
a31	2.6285979e-12	1.2715271e-11	5.7243694e-09	8.570152e-05	0.00058326183	0.00045558275	1.0649419e-05	0.014808222	0.044329464	0.09312915	0.84659797
a20	6.179069e-14	3.8924267e-13	1.0227144e-09	4.3999935e-05	0.00083890103	0.0003570331	5.926835e-06	0.00014640721	0.00084241974	0.009230759	0.9885345
a31	1.983025e-12	8.37935e-12	2.4017444e-09	3.8678794e-05	0.00031143668	0.000383535	2.0530579e-05	0.015661478	0.042183734	0.120445155	0.82095546
a20	2.4050521e-14	1.7482341e-13	3.196092e-10	2.1454245e-05	0.00051066664	0.00015934784	2.1215005e-06	5.843337e-05	0.00028441657	0.0035231733	0.99544036
a31	1.3470548e-12	5.978834e-12	1.2721852e-09	2.5637213e-05	0.00026832425	0.00032671224	1.4911359e-05	0.011909123	0.031177437	0.10052881	0.8557491
a8	8.70043e-15	7.643054e-14	1.2534047e-10	1.3820451e-05	0.0004776177	9.5520845e-05	8.773523e-07	2.4648052e-05	0.00010805448	0.0016070381	0.9976724
</S>	6.4280524e-14	1.8564612e-12	5.4720006e-09	4.0560586e-05	0.0012713923	0.0025716473	3.8687755e-05	0.0023340327	0.014054449	0.10325875	0.8764305
