 	mi	sono	vestito	</S>
a39	2.5037576e-07	7.5330136e-05	0.9939294	0.005995027
a11	0.0096654855	0.15317592	0.36398175	0.4731768
a13	2.708491e-05	0.15242894	0.6339799	0.21356407
a18	8.9712275e-06	0.13700053	0.6182455	0.24474502
a31	2.7088852e-06	0.11098621	0.65838164	0.23062941
a37	9.086045e-06	0.11765418	0.7433159	0.1390208
a15	1.6765543e-07	0.001519673	0.34063044	0.6578497
a31	1.0546484e-08	5.2524556e-05	0.7115505	0.28839707
a46	1.4588011e-09	8.287226e-06	0.89014715	0.10984451
a31	1.235577e-10	3.7997583e-07	0.20403293	0.7959667
a20	2.464715e-12	1.18105055e-08	0.092584394	0.90741557
a31	1.1693958e-09	2.789024e-07	0.0017514954	0.9982482
</S>	2.7015005e-14	1.4983868e-10	5.9137445e-05	0.9999409
