 	l	ho	sentito	che	veniva	</S>
a41	5.0958406e-06	4.2174168e-05	0.00020230439	0.06956294	0.83466494	0.09552252
a31	0.029545726	0.0510452	0.122625604	0.5270256	0.20700613	0.06275177
a24	1.3856463e-05	6.39867e-05	0.4009203	0.44009432	0.15564415	0.0032634526
a15	7.012128e-07	5.2389154e-05	0.061078545	0.30877137	0.43048552	0.19961143
a28	2.5112348e-07	1.5327247e-05	0.002541879	0.11631337	0.5600073	0.32112184
a0	3.7418575e-09	9.910615e-08	3.4621447e-05	0.004763881	0.41363567	0.5815657
a31	9.725803e-11	1.0909375e-09	4.9415377e-07	0.0002057718	0.2279094	0.7718843
a11	5.391582e-12	5.7892297e-10	2.241125e-08	0.00017462991	0.8215317	0.17829368
a31	4.4429436e-11	5.272135e-10	6.807698e-07	0.00019904585	0.3435631	0.6562372
a39	9.249716e-15	6.7214734e-13	2.3054697e-10	8.152018e-07	0.016247407	0.9837518
a20	8.482661e-12	4.7531555e-11	1.7260614e-08	8.970754e-06	0.006141133	0.99384993
</S>	8.687001e-11	2.450689e-10	1.8185126e-08	8.549783e-06	0.0011289837	0.9988625
