 	io	non	so	cosa	è	da	scrivere	</S>
a48	5.843129e-06	4.6170576e-06	0.00016330619	0.019873561	0.04895655	0.016437946	0.49278685	0.42177132
a31	6.991662e-08	8.231217e-06	2.9696192e-05	0.067294836	0.32351297	0.43904877	0.12499882	0.045106627
a14	4.609869e-08	8.373624e-05	6.98479e-07	0.0012366353	0.014757015	0.38026118	0.1439251	0.45973554
a37	2.8390656e-09	1.0846447e-06	2.204487e-07	0.000986504	0.027959269	0.5320225	0.19765657	0.24137391
a10	2.9028757e-10	1.8819373e-08	9.144724e-08	0.01013329	0.31540242	0.48186818	0.091851026	0.100744955
a31	8.653253e-12	3.6792656e-11	2.0642953e-10	0.00042431027	0.34418154	0.6119233	0.03773059	0.0057402663
a28	2.3669525e-11	4.4051918e-09	7.892705e-08	0.0024991517	0.014055743	0.061589897	0.6730981	0.24875706
a31	4.239249e-13	1.8647245e-11	1.424712e-14	3.3746005e-07	0.022273494	0.6404503	0.29443285	0.042842973
a42	5.452727e-15	8.647777e-13	3.828613e-12	7.310181e-07	6.179105e-05	0.0005295766	0.027740235	0.97166765
a23	1.0248353e-12	3.4980924e-12	3.559428e-15	1.776064e-08	0.0012147664	0.06314862	0.54824746	0.3873891
a8	3.1722006e-15	2.1878522e-14	2.4681505e-13	7.813206e-08	0.00010121581	0.00355873	0.16891986	0.8274201
</S>	1.940062e-15	2.7382337e-15	1.896492e-14	1.3197627e-09	1.5607688e-05	0.0015026742	0.24030878	0.7581729
