 	la	macchina	si	è	rotta	e	vuole	riparate	dal	meccanico	</S>
a31	6.285698e-06	5.5591277e-05	0.0006073564	0.006402546	0.070793316	0.00018717682	0.010297181	0.0011855057	0.0022838388	0.7709552	0.13722594
a23	3.066251e-08	2.5518192e-08	8.015028e-07	1.799672e-06	0.0001580145	4.8917613e-05	0.06531185	0.003337696	0.02593825	0.8815961	0.023606496
a31	2.3377012e-11	1.3531441e-10	1.3922545e-07	5.706194e-06	0.0003684477	5.511181e-05	0.9587521	0.009639765	0.00039941122	0.026992522	0.0037868763
a37	2.8988422e-06	1.1048562e-05	0.00014649388	0.00019599104	0.0017601268	0.0002833359	0.53807825	0.046714798	0.0014298516	0.39616627	0.015210948
a39	2.6542155e-08	8.775864e-06	0.00047993942	0.0024356581	0.010043817	0.00028618998	0.20458609	0.4758239	0.017783737	0.27736717	0.0111847175
a17	2.272154e-09	2.8859831e-06	0.0002901876	0.0024280974	0.0072866483	0.00022790089	0.17194647	0.46727705	0.025412414	0.31368342	0.011444994
a11	3.982163e-10	1.0057757e-06	0.00027004466	0.0046085995	0.019210875	0.00025280233	0.1589561	0.21190098	0.020785976	0.5645083	0.01950535
a31	4.3857237e-11	2.5356481e-08	2.773234e-05	0.0013763795	0.051681876	7.399848e-05	0.4115706	0.05830678	0.0042542983	0.45407948	0.01862876
a20	1.847404e-07	0.00029075224	0.013630069	0.039812304	0.27017617	0.00078916183	0.08366096	0.00048142948	0.00010926428	0.5827334	0.008316345
a31	3.286934e-10	9.1411074e-08	5.4571377e-05	0.00088214455	0.2671081	0.00015945075	0.5884328	0.0039423946	0.0001312756	0.13885702	0.00043225044
a24	8.852345e-09	2.3286695e-05	0.005207163	0.06348774	0.41861728	0.00092920585	0.32907256	0.00020284015	6.9178272e-06	0.17065883	0.011794216
a31	3.250953e-11	8.431695e-09	2.5375837e-05	0.00067144603	0.20740974	7.9620195e-06	0.41366792	7.750202e-05	7.661502e-07	0.3731199	0.005019428
a8	4.2712123e-10	1.6770554e-06	0.0020815644	0.08098277	0.51862615	0.00035429597	0.21228892	3.0517458e-05	5.761383e-07	0.07505242	0.110581115
a31	3.1706568e-11	4.30465e-08	0.00011569216	0.0060731135	0.3973624	6.610751e-05	0.25728402	4.884523e-05	6.7672624e-07	0.27456626	0.06448292
a24	4.7597457e-11	1.1612516e-07	0.00031151672	0.026838448	0.31009474	0.000100756246	0.14301725	1.5573163e-05	1.0897771e-07	0.03957633	0.4800451
a6	9.996569e-12	4.558507e-10	4.3723e-06	0.00010021929	0.05207721	7.612547e-07	0.3300136	3.960345e-06	5.851034e-08	0.53996295	0.07783688
a31	1.174584e-12	1.0547753e-09	1.2651488e-05	0.0016041662	0.053102635	2.2720387e-06	0.032935742	1.2370514e-05	7.831129e-07	0.34527925	0.56705016
a20	1.1510365e-12	1.7189328e-09	1.6718866e-05	0.00252884	0.040538646	6.4743385e-06	0.038052484	7.2329653e-06	2.7582617e-08	0.019142473	0.8997071
a31	7.793585e-12	4.736132e-10	2.5515794e-06	2.0862191e-05	0.009022234	3.7548358e-07	0.35891178	1.0726202e-05	1.7149407e-06	0.46272177	0.16930799
a23	2.1089337e-13	2.0605943e-10	3.0718556e-06	0.00058635167	0.011055992	1.1805328e-06	0.013777118	2.7259732e-06	1.2427597e-08	0.008227265	0.9663462
a28	1.8087158e-12	3.037909e-09	9.238921e-06	0.0007626757	0.023194851	7.803365e-06	0.028743055	2.6992708e-05	5.663402e-07	0.17935997	0.7678948
a31	2.5451983e-11	4.667492e-10	4.6806088e-07	2.866146e-06	0.0013246115	8.20099e-08	0.051820446	3.093273e-06	1.0411023e-05	0.3308778	0.6159602
a0	2.6595877e-14	8.78393e-12	1.1890111e-07	2.332284e-05	0.00087734085	7.087523e-08	0.003012209	1.0423595e-06	9.3670955e-09	0.007834022	0.98825186
a28	1.5513674e-11	1.0227144e-09	1.9693823e-06	1.3463562e-05	0.0028490569	5.028224e-07	0.08584695	1.2021057e-05	1.0453522e-05	0.3743681	0.5368974
a35	1.2338837e-11	1.2896464e-10	5.0228614e-08	4.6725816e-07	0.0003135127	1.5706894e-08	0.018872775	1.2502653e-06	1.2431026e-05	0.22460985	0.7561896
a8	1.4174434e-13	5.8051892e-12	6.1154055e-09	2.9955388e-07	6.290183e-05	2.4861649e-08	0.0010326246	1.1850975e-06	1.1317597e-05	0.19040824	0.8084833
a20	1.10183286e-13	5.9377277e-12	7.1815247e-09	2.5063176e-07	2.7025402e-05	2.1174651e-08	0.0015733469	1.8453492e-06	1.2219221e-05	0.14180833	0.85657686
a31	9.354998e-12	8.911687e-11	1.3220414e-08	9.577869e-08	8.636902e-05	1.7086817e-10	0.006595194	2.4618313e-07	7.2446014e-06	0.09381428	0.8994965
a37	4.29605e-14	8.4064504e-13	9.529515e-10	5.689243e-08	2.0357571e-05	3.6022916e-09	0.0007180734	1.4271525e-07	1.1079392e-07	0.037705824	0.96155536
a31	1.9647431e-11	1.530769e-10	4.7032664e-08	3.0793765e-07	0.0002373895	1.3728747e-09	0.017811881	7.232152e-07	2.5674375e-05	0.16191415	0.8200098
a37	2.986499e-14	6.1644765e-13	6.740985e-10	4.4419128e-08	1.1048886e-05	2.6374334e-09	0.00046232287	1.2279237e-07	6.767736e-08	0.027278535	0.97224784
a19	1.6830778e-11	1.2646086e-10	3.146472e-08	2.014296e-07	0.00021452922	7.34456e-10	0.015013463	3.0246585e-07	1.0711086e-05	0.15880954	0.8259513
a35	4.836097e-13	9.59713e-13	5.05408e-10	7.865227e-09	1.0711098e-05	8.417733e-11	0.002869472	8.808906e-09	4.933998e-07	0.08842204	0.90869725
a20	9.945779e-14	4.1322453e-12	3.622028e-09	1.2620131e-07	1.8719453e-05	1.23917845e-08	0.00046331424	5.6336313e-07	1.8977692e-06	0.099260874	0.9002545
a31	1.4624453e-11	1.3185741e-10	2.6500048e-08	1.9749861e-07	0.00016540727	2.0900402e-10	0.00893	3.4283656e-07	1.1979549e-05	0.1371489	0.85374314
a39	6.7330656e-14	1.1266158e-12	9.352681e-10	4.5462333e-08	1.1478451e-05	4.0324264e-09	0.0005879506	1.3273497e-07	1.3192376e-07	0.047553133	0.95184714
a31	5.7370987e-12	8.040429e-11	3.035008e-08	3.0710547e-07	8.649352e-05	3.2971335e-09	0.012218423	1.5132141e-06	1.8280954e-05	0.11183852	0.87583643
a28	2.1800844e-14	8.6231456e-13	1.147725e-09	8.6483354e-08	9.498856e-06	3.5009193e-09	0.00033992	2.7076368e-07	1.8384848e-07	0.030330405	0.9693196
a20	1.4695557e-11	1.2080774e-10	2.8491902e-08	2.7156833e-07	5.9424572e-05	3.990863e-09	0.007023029	2.6000278e-06	2.8794193e-05	0.11849671	0.87438905
a8	5.0627527e-12	4.8733476e-11	8.627747e-09	1.0476063e-07	3.714285e-05	1.4309947e-09	0.0056869825	6.94725e-07	6.835699e-06	0.09759817	0.8966701
a13	4.7761955e-14	6.215406e-12	7.153763e-09	3.231254e-07	2.7933893e-05	1.5024856e-08	0.00048246092	2.5344668e-06	1.3740991e-05	0.080652036	0.9188209
a44	6.1800742e-12	7.492099e-11	2.3380805e-08	2.3435958e-07	5.7521884e-05	4.217016e-09	0.009020181	2.229772e-06	2.273951e-05	0.09558817	0.89530885
</S>	6.67813e-14	1.639567e-11	1.7546984e-08	8.8730064e-07	6.557355e-05	4.5848253e-08	0.0006636943	9.530979e-06	6.259346e-05	0.08630187	0.91289574
