 	perché	aveva	lavorato	molto	</S>
a46	7.997631e-05	1.5101708e-05	0.0045613567	0.9879987	0.007344935
a31	0.07875062	0.011207465	0.648814	0.20028429	0.060943544
a17	0.77598363	0.00023503779	0.21477465	0.0077995174	0.0012071561
a31	0.69538647	0.0001279847	0.29615316	0.0054736217	0.0028588013
a37	0.007323289	0.00065112754	0.943931	0.046523616	0.001570916
a31	4.3106043e-06	4.2898224e-05	0.9440622	0.055631306	0.0002594613
a18	6.9359434e-05	8.912355e-06	0.12615846	0.8728734	0.0008897595
a10	2.2740242e-07	1.0512139e-07	0.43278003	0.5664904	0.0007291887
a31	2.5608523e-07	3.1601292e-07	0.730578	0.26852855	0.000892863
a46	8.3815195e-07	1.0757066e-08	0.011458858	0.98088926	0.0076510753
a20	4.9959677e-08	1.0623237e-09	0.13921288	0.85655695	0.004230227
a11	5.2665925e-09	3.2441425e-11	0.11813668	0.86369944	0.01816386
a18	2.533195e-10	8.8729257e-13	0.009038144	0.92366874	0.06729306
a31	9.9987074e-11	3.2777885e-13	0.0044782744	0.71535087	0.28017083
a0	3.5569398e-11	3.0417354e-13	0.0013305355	0.25380945	0.74486
a31	1.2625939e-10	2.171779e-12	0.002837427	0.9485162	0.048646394
a8	7.0121e-12	5.1589663e-14	0.00026297115	0.1257479	0.8739891
a31	6.3757005e-10	1.0288769e-10	0.005657292	0.7450472	0.2492955
a7	3.756942e-11	3.088505e-13	0.00032867116	0.19714686	0.80252445
a31	6.603681e-11	9.117321e-13	0.00065636146	0.7351311	0.26421255
</S>	4.0899263e-12	6.098082e-14	0.00014965906	0.14460124	0.8552491
