 	devo	pulire	l	albero	</S>
a39	0.0007312936	0.87455434	0.010714845	0.086247854	0.027751759
a31	0.013905476	0.28367373	0.12182674	0.23084085	0.3497532
a35	0.22292216	0.7620655	0.007322972	0.0018070311	0.0058823694
a31	0.001329287	0.9604964	0.012626613	0.006518665	0.019029023
a20	0.004117469	0.3071377	0.5145762	0.08569594	0.088472694
a31	2.2460262e-07	0.015086495	0.78770316	0.14533357	0.0518766
a37	2.9145554e-07	0.26640537	0.6163875	0.106414184	0.01079267
a1	1.5416132e-09	0.0017074866	0.17844808	0.7848665	0.034977935
a20	3.74761e-09	0.12757988	0.5223705	0.2865366	0.06351299
a31	4.922452e-09	0.00065866084	0.06404293	0.69582355	0.23947483
a39	5.037037e-11	0.12823185	0.110516205	0.65566	0.10559199
a10	5.875273e-10	0.0005375482	0.011148104	0.86941177	0.118902564
a29	5.954954e-11	2.5561847e-05	0.00053258217	0.74807435	0.25136754
a46	1.39454654e-11	1.0912361e-05	0.00038376602	0.3183263	0.68127906
a31	1.0809011e-12	3.3680768e-05	0.0016742775	0.5040013	0.49429077
a20	4.6803403e-13	0.00024094114	0.0010171469	0.2641139	0.73462796
a13	2.4652194e-12	1.2998939e-06	0.000113239155	0.75217104	0.24771442
a20	2.1590167e-12	4.172302e-07	7.833471e-06	0.34745854	0.65253323
a31	8.1463173e-13	1.1672274e-07	6.826185e-06	0.45437634	0.54561675
a11	7.6008095e-15	7.663436e-07	7.212096e-06	0.052742038	0.94724995
a17	2.6172523e-12	3.0823324e-07	5.1743264e-05	0.5287428	0.47120512
a20	1.2247958e-13	1.09440755e-07	4.5955818e-05	0.32987323	0.67008066
</S>	1.092862e-12	3.435908e-08	3.2834944e-06	0.2901612	0.70983547
