 	da	da	un	famoso	poeta	</S>
a31	1.3176397e-07	7.488064e-06	0.0023688762	0.17739959	0.8149621	0.005261793
a37	0.0009193778	0.0054382365	0.2141771	0.74938065	0.026972093	0.0031125604
a31	2.0495852e-07	4.96024e-05	0.007743687	0.98571974	0.0049002483	0.0015864242
a28	0.00079566444	0.0091583785	0.19720316	0.65785056	0.124197036	0.0107950615
a31	8.327945e-07	1.27714275e-05	0.007373607	0.77633506	0.2139681	0.002309627
a20	3.3252957e-06	5.607938e-05	0.0055621034	0.11004034	0.8778464	0.0064918427
a13	5.971749e-07	9.46623e-06	0.001062451	0.85113746	0.14722411	0.0005659981
a39	1.4880203e-08	5.2941e-07	9.609334e-05	0.7522993	0.24697284	0.00063118647
a31	2.0157322e-10	2.7293542e-08	2.2659911e-05	0.3453951	0.6505304	0.004051766
a35	1.4302827e-12	5.7344896e-11	2.5256784e-07	0.42177376	0.55644715	0.021778822
a31	2.1232835e-12	2.1619037e-10	5.3284924e-07	0.25027698	0.7145806	0.035141934
a17	9.259653e-14	4.530989e-12	1.5539667e-08	0.31139466	0.41380578	0.27479947
a31	5.378252e-13	5.5171732e-11	9.314876e-08	0.24705578	0.60839653	0.14454757
</S>	1.4645589e-13	9.929729e-12	2.0230189e-08	0.12506172	0.37031612	0.50462216
