 	essendosi	vestito	</S>
a46	0.13215779	0.8536607	0.0141814705
a31	0.7661644	0.031668987	0.20216665
a18	0.9791519	0.0062032584	0.014644724
a31	0.9391381	0.009521772	0.051340032
a20	0.985816	0.013575889	0.0006082052
a46	0.010041695	0.32032037	0.6696379
a20	0.001207884	0.2497337	0.7490584
a31	0.00020613751	0.0047188727	0.99507505
a0	0.0021597731	0.6387089	0.3591313
a46	9.966731e-06	0.0019541373	0.99803585
a35	4.574061e-07	0.0051615844	0.99483794
a46	6.714216e-08	0.0009254492	0.99907446
a24	1.8867997e-08	0.000703147	0.9992968
a46	2.0423456e-06	5.6049837e-05	0.99994195
a24	1.441504e-08	0.00010019309	0.99989974
a31	6.8559357e-06	3.47967e-05	0.9999584
</S>	2.417029e-09	7.4530903e-06	0.9999925
