 	il	morto	si	piange	</S>
a20	3.793643e-08	2.8239498e-07	0.017994113	0.9722668	0.009738823
a31	4.2632273e-05	1.3549993e-06	0.9944589	0.0051639546	0.00033317966
a18	0.00012342747	1.7461344e-06	0.9471134	0.052344114	0.00041733618
a15	1.2291609e-08	1.4104211e-07	0.7386451	0.25918263	0.002172185
a31	5.5815543e-11	3.8598893e-09	0.65905	0.34025347	0.0006965546
a15	1.7773368e-11	6.8279093e-09	0.8913534	0.1086205	2.6120231e-05
a31	6.205218e-14	1.9519153e-09	0.0077068205	0.9920061	0.00028707218
a29	6.6837047e-13	2.6669555e-08	0.06501763	0.93437725	0.00060511794
a31	7.264776e-15	2.7514055e-10	0.00012058052	0.9994104	0.0004690145
a0	2.085107e-14	3.2084444e-09	0.0007527306	0.9978282	0.0014191163
a31	5.0023064e-15	2.994761e-11	2.7632193e-05	0.99904066	0.0009317119
a13	2.4021488e-15	2.8591987e-10	4.4699475e-05	0.9934089	0.006546405
a18	1.1368785e-14	1.432488e-11	9.680248e-06	0.9968821	0.003108309
a41	1.3934024e-14	2.7431117e-12	1.0881574e-06	0.98911816	0.010880818
a31	3.7885154e-15	1.8935542e-13	1.05236005e-07	0.9881914	0.0118083935
a18	1.1778693e-15	1.9382429e-13	2.2086721e-07	0.837733	0.16226687
a31	2.3033102e-15	3.786662e-14	2.3378151e-08	0.9778721	0.022127988
a46	9.332987e-16	4.9003428e-14	4.6977753e-08	0.73799306	0.2620068
a31	1.329705e-15	2.1157682e-14	1.55739e-08	0.9271477	0.072852336
a0	1.750451e-15	1.9141786e-14	4.3578662e-08	0.67740464	0.32259524
a31	1.7298999e-15	1.1076286e-14	1.286386e-08	0.951381	0.04861902
</S>	5.2422873e-15	1.6721269e-14	4.929841e-08	0.59205145	0.40794846
