 	l	ho	sentito	che	viene	</S>
a34	1.1506039e-06	3.5922512e-05	0.0022414594	0.014071814	0.00031418752	0.9833355
a46	1.0672638e-08	8.5088104e-08	0.0007518487	0.06220833	7.960144e-06	0.93703175
a41	8.515646e-07	2.6493078e-06	0.007954597	0.05595515	6.381855e-05	0.936023
a19	6.9385324e-09	5.2453597e-08	0.0013906001	0.026297307	1.138802e-05	0.9723006
a31	1.2034522e-13	1.4196168e-11	1.5433314e-05	0.019022115	6.439375e-08	0.98096246
a20	2.8022482e-11	2.8849176e-10	0.00014842115	0.13883638	1.7659789e-06	0.8610135
a31	1.4445229e-14	6.5688006e-12	8.095595e-07	0.010763403	2.3359167e-10	0.9892358
a24	3.8287915e-12	6.254967e-10	8.797828e-05	0.47986692	3.1907252e-09	0.5200451
a31	6.741611e-12	9.580949e-10	1.2166746e-05	0.046868045	2.2021582e-10	0.95311975
a23	1.3661028e-14	5.612871e-12	4.6610486e-07	0.028238298	3.2390732e-10	0.97176117
a20	2.0085184e-14	1.4860049e-11	2.0869054e-07	0.0015820992	4.8330595e-10	0.99841774
</S>	7.757768e-13	2.935286e-10	8.9857785e-08	3.7045756e-05	4.3850252e-09	0.9999628
