 	hai	già	mangiato	</S>
a38	2.4161747e-07	2.0459327e-06	0.9926063	0.007391514
a31	0.014442816	0.0028780196	0.6754867	0.30719244
a20	0.0019232106	0.00054871436	0.628726	0.3688021
a31	1.736393e-05	1.8155743e-05	0.7364861	0.26347837
a27	0.0002419979	0.00062651123	0.9696866	0.029444901
a31	9.288383e-06	2.3869607e-06	0.9940394	0.005948915
a20	1.4774915e-07	1.2025068e-07	0.99338716	0.0066126687
a31	1.1550589e-08	5.1698365e-08	0.93191224	0.068087675
a39	6.707373e-10	4.037895e-09	0.7274294	0.27257058
a20	2.6530171e-12	6.0284576e-11	0.10432752	0.8956725
a10	1.0506086e-12	2.3022336e-11	0.020502435	0.97949755
</S>	6.4979424e-13	2.6813909e-11	0.0015496401	0.9984503
