 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	1.3299524e-05	0.00024955344	0.0011447022	0.003267707	0.036302827	0.024889164	0.01792078	0.009282099	0.0022365293	0.39245167	0.22447895	0.19340973	0.094352916
a24	5.918667e-06	2.0420023e-06	8.05571e-05	1.82561e-06	8.226507e-06	8.348669e-05	0.007947594	0.02030583	0.00058978563	0.8488703	0.07320797	0.031596027	0.01730051
a28	6.165559e-09	1.8386187e-08	3.814324e-06	4.7371527e-06	1.6107602e-05	0.00017665712	0.015935006	0.0400811	0.0018329632	0.8848417	0.033909727	0.0070627453	0.016135447
a39	6.689083e-10	2.7555314e-08	1.5354786e-06	6.4331116e-06	1.3157572e-05	7.704315e-05	0.00075630395	0.008488267	0.018532833	0.93280303	0.030987646	0.0038474824	0.004486184
a17	7.789122e-10	1.2064973e-07	1.0862076e-05	0.000101250844	0.00016654229	0.00050434837	0.0016275364	0.0039753406	0.050246105	0.88186496	0.055878825	0.0026161096	0.0030080094
a31	1.7165117e-10	6.1243085e-08	4.7918453e-05	0.0015790765	0.0033215038	0.006970635	0.016040016	0.01387338	0.09965104	0.6619366	0.1791861	0.00893709	0.008456678
a20	2.5792687e-07	0.000121499834	0.131608	0.19514944	0.12109113	0.15801314	0.16766223	0.031221854	0.0030343777	0.014807696	0.028580772	0.11069621	0.03801349
a31	4.0359274e-10	1.074734e-08	0.0003356071	0.006589352	0.03525838	0.059333034	0.277803	0.025939897	0.02656474	0.39094606	0.15990843	0.012284199	0.0050372644
a17	4.122263e-09	5.0237504e-06	0.0458721	0.39912158	0.10387029	0.07173766	0.10132257	0.0076092053	0.0008047164	0.008595261	0.030902566	0.19275147	0.03740758
a8	1.06267425e-10	9.035561e-09	0.0007880282	0.011035212	0.06266071	0.14162643	0.70770824	0.02946482	0.00071333157	0.017802157	0.016025318	0.006060951	0.006114771
a31	4.054801e-12	1.4630936e-09	0.00031460472	0.037909776	0.07024008	0.18269713	0.65578204	0.0034097903	3.0630233e-06	0.0004650237	0.001044475	0.0044047027	0.043729395
a8	1.08274075e-11	4.9417586e-09	0.0014905008	0.25899795	0.16433808	0.12779379	0.32577863	0.001599523	1.7428576e-05	0.00027847322	0.0010171188	0.029258667	0.08942982
a24	1.2205863e-12	1.9593678e-10	0.0002307872	0.033268567	0.07522044	0.17861822	0.64754933	0.0023574298	2.2867478e-06	0.00037304833	0.0008507026	0.005689496	0.05583973
a31	6.2151525e-15	1.6446714e-13	4.1195176e-06	0.00032126866	0.012342135	0.17927454	0.693813	0.009816019	1.1065064e-06	0.00079313526	0.0004699122	0.00050237554	0.10266237
a20	5.7232586e-14	7.0094013e-12	5.6696656e-05	0.06818815	0.15551692	0.15864679	0.27560794	0.0012399317	1.0238508e-05	8.1676364e-05	0.00022800495	0.011442583	0.32898113
a31	8.7406476e-13	2.2769855e-11	0.00043491786	0.0033005844	0.02362602	0.102373965	0.39808416	0.048874624	5.5818975e-05	0.036110535	0.01866979	0.018188732	0.35028082
a41	1.34348285e-14	7.787898e-13	9.280852e-06	0.013114327	0.07943505	0.18389305	0.295964	0.0011577999	3.1514658e-06	2.4796072e-05	4.6152214e-05	0.0021126578	0.42423975
a31	1.178961e-13	4.3606256e-12	0.00013994004	0.0058948263	0.06793125	0.19677716	0.4783531	0.007334149	4.7638887e-06	0.0018729602	0.0014093213	0.006390087	0.23389237
a13	7.5163866e-15	3.12006e-13	4.2523507e-06	0.008019574	0.09387928	0.2535312	0.25968096	0.0007032759	6.1627094e-07	6.56989e-06	5.7024317e-06	0.00033001634	0.3838385
a37	1.3108457e-13	3.4957438e-12	0.00013273931	0.0024765374	0.03278193	0.15219492	0.36089396	0.018487543	6.292076e-06	0.0045061563	0.0019842088	0.0066190334	0.41991666
a8	1.9761031e-14	2.4036104e-13	3.150261e-06	0.00013701405	0.006275564	0.08986266	0.24457425	0.015885679	3.126923e-06	0.0023300364	0.0012815262	0.00423222	0.63541484
a39	2.4412786e-14	3.2888126e-13	5.2386747e-07	0.00063369755	0.031385947	0.12647422	0.12962298	0.0010032543	1.1754493e-05	0.0022365113	0.008939266	0.05209928	0.6475926
a20	3.7774803e-14	4.4964333e-13	1.492154e-06	6.572842e-05	0.001047278	0.004026293	0.008105903	0.0034846934	1.934346e-05	0.009391939	0.009844823	0.035512988	0.9284995
a24	4.8908133e-14	6.3041017e-13	9.3891494e-08	5.3652575e-06	0.0005346635	0.0012641534	0.0018357802	0.001301881	2.157415e-06	0.011769167	0.009868936	0.031417828	0.94200003
a18	1.25311045e-14	9.564401e-14	5.5308686e-07	1.7580058e-05	0.00070067664	0.006364341	0.020283237	0.009424113	2.3505543e-05	0.013078877	0.009813195	0.027895324	0.9123987
a23	7.22606e-15	5.74602e-14	1.3068365e-07	2.3112783e-05	0.001792512	0.014741252	0.024606658	0.0018515937	1.4756729e-05	0.0062100138	0.011732469	0.04336958	0.89565796
a24	9.149646e-15	7.772097e-14	2.71238e-07	0.00010527957	0.007140086	0.042589746	0.055252604	0.0009997325	1.2409254e-05	0.0029101616	0.008222827	0.036976546	0.8457904
a31	4.445589e-15	4.2494955e-14	2.038612e-06	5.650735e-05	0.0017506456	0.022059925	0.07439055	0.013991982	1.1293799e-05	0.006165185	0.004730989	0.017925432	0.85891545
a20	1.3152652e-14	1.1770756e-13	4.8491427e-07	0.0004382175	0.019370517	0.08794308	0.12081031	0.00071623054	4.9683404e-06	0.0011184333	0.0032373376	0.019378463	0.74698204
