 	lo	sentii	ee	che	arrivava	</S>
a15	1.846411e-05	0.00041981164	0.0001135415	0.25844553	0.012040274	0.7289624
a31	0.0005297394	0.014415146	0.0002184816	0.5816536	0.005172105	0.39801097
a46	0.00024551598	0.5629205	1.6668557e-06	0.37559488	0.00012757261	0.061109804
a8	4.490998e-06	0.0011675562	4.338808e-06	0.9176612	0.00019873456	0.08096362
a31	7.242994e-08	7.065818e-06	9.956511e-07	0.44748592	0.0013609374	0.55114496
a23	1.3953807e-08	1.173871e-05	8.033864e-07	0.03302673	0.0027984723	0.9641623
a8	7.714413e-12	4.9262643e-09	2.12989e-09	0.04764135	0.0012899135	0.95106876
a38	6.104267e-12	3.3266538e-08	3.6002836e-09	0.020965703	0.0002466924	0.9787876
a20	1.2368369e-12	2.9725634e-08	1.7418318e-09	0.0027005246	0.00011373206	0.99718565
a28	9.948474e-12	7.280407e-11	1.0311602e-11	0.0021279068	1.3314024e-06	0.9978708
a20	4.3939703e-11	1.0392739e-10	1.5311371e-12	0.00017397713	5.8525603e-07	0.9998254
a23	2.3451605e-10	5.4332583e-10	1.0560682e-12	0.00015773973	1.3855291e-06	0.99984086
a31	1.6382389e-12	2.8073193e-09	1.5963056e-11	0.0005757366	1.1112078e-05	0.99941313
a29	5.321045e-12	4.5793524e-08	3.1363863e-11	0.0050107143	3.3755645e-05	0.9949555
a33	9.396754e-12	2.73572e-10	1.7508965e-11	0.005143633	0.00018593631	0.99467045
a29	7.921732e-13	2.2051039e-09	7.124006e-12	0.002306373	3.1078955e-05	0.99766254
a27	7.0638382e-12	1.3536648e-10	8.701838e-12	0.0031789932	0.00022127888	0.99659973
a46	5.5805542e-12	1.1931085e-11	5.760872e-13	6.374754e-05	2.3446019e-05	0.99991286
a20	5.604525e-14	2.3485188e-11	6.1506285e-13	0.00017606001	3.1209393e-06	0.9998209
a31	2.194124e-12	2.0180394e-12	3.560448e-13	1.9439189e-05	5.3647116e-05	0.9999269
a7	7.518373e-15	1.9127182e-12	1.2214521e-13	6.9921243e-06	1.2198866e-07	0.99999285
a1	1.1287443e-12	7.810013e-13	9.6708936e-14	2.2110305e-06	1.785344e-05	0.99998
a20	4.711312e-15	8.8280094e-13	4.6308294e-14	6.024761e-06	8.559606e-08	0.9999939
a31	7.1153245e-13	3.0649422e-13	4.605841e-14	2.6960502e-06	1.2493761e-05	0.99998486
a20	3.074402e-15	3.2756724e-13	4.7839235e-14	1.3065096e-06	4.6236813e-08	0.9999987
a31	3.2794224e-13	1.2494667e-13	9.018673e-15	1.2811175e-07	1.3689423e-06	0.99999845
a23	1.0980337e-15	6.778461e-14	9.10938e-15	1.346343e-07	4.4686854e-09	0.9999999
</S>	5.439775e-14	1.8651088e-12	1.8990156e-13	0.00013919208	1.7013972e-05	0.9998437
