 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	1.5271336e-08	1.0209808e-06	0.0007186879	0.005619134	0.013553044	0.9289322	0.051175904
a31	6.386594e-05	0.00051482796	0.004351206	0.007834215	0.77721995	0.18113773	0.028878324
a6	1.25644365e-05	2.4529609e-06	0.00047504457	0.123495124	0.28915423	0.583484	0.003376555
a31	4.4837307e-08	2.6197668e-07	0.002590361	0.1681737	0.07746599	0.7449277	0.006841942
a37	3.2134717e-09	2.63679e-08	3.9903102e-06	0.0045722574	0.6794104	0.31251073	0.003502545
a31	9.897388e-15	5.4714137e-12	4.5821642e-07	0.0014603115	0.98559386	0.012680095	0.00026533435
a17	3.695087e-11	5.4085226e-11	7.6041874e-07	0.0012912144	0.5914061	0.40230677	0.004995157
a31	3.9015357e-14	4.9438253e-13	1.4432024e-08	0.00015796727	0.66028523	0.33839512	0.0011616388
a17	5.547559e-12	9.394423e-12	2.9186117e-08	3.3044416e-05	0.026250107	0.9660076	0.007709153
a31	6.861043e-14	8.300469e-14	1.1716149e-09	1.06822345e-05	0.11371397	0.88433814	0.0019371874
a8	2.2593165e-13	1.0366385e-12	8.121162e-10	5.6157836e-07	0.0009843848	0.99214387	0.006871216
a31	2.8715782e-14	4.943185e-14	1.8679269e-10	4.2377408e-07	0.0025481975	0.99520713	0.0022442765
a28	3.1663657e-14	1.6765688e-13	1.0963706e-10	4.1915985e-08	5.1918454e-05	0.99099976	0.008948216
a0	1.7340257e-13	1.1194419e-15	1.3329572e-12	6.6659407e-09	0.00035763578	0.9983259	0.0013165309
a41	5.261323e-14	6.446203e-16	8.2453705e-12	3.7593708e-08	0.00020049099	0.9980076	0.0017918049
a39	6.8587125e-15	2.6951066e-15	4.74918e-11	5.7779084e-07	0.00037104764	0.9862686	0.013359709
a31	1.5628845e-14	2.1427858e-16	5.8079973e-13	1.2600132e-08	0.00018019896	0.94853014	0.051289596
a39	2.7921284e-16	1.7019957e-16	2.5795048e-13	5.1614407e-10	6.6929226e-07	0.89721084	0.10278855
a31	2.1469763e-14	1.3221323e-16	9.240941e-14	1.4569939e-09	2.3123752e-05	0.8892818	0.11069502
a18	1.7280287e-16	6.833701e-17	4.0472034e-14	9.3468636e-11	1.6688614e-07	0.709163	0.2908368
a31	1.1744787e-14	1.0435863e-16	5.0401506e-14	1.5526596e-09	1.783292e-05	0.8201587	0.17982344
a18	2.380778e-16	1.6955498e-16	6.3905404e-14	2.5752986e-10	5.4930825e-07	0.4489864	0.55101305
a31	1.5713405e-14	1.4473092e-16	4.5778905e-14	1.4241286e-09	2.0171405e-05	0.6964829	0.30349693
a39	4.988176e-16	4.3931922e-16	1.417457e-13	4.792871e-10	1.5437024e-06	0.2849108	0.71508765
a41	2.2416234e-14	1.7228329e-16	2.9887842e-14	7.3636963e-10	1.671447e-05	0.55147475	0.44850853
a8	3.7219386e-15	2.9844264e-16	1.4713122e-13	2.33774e-09	2.6168867e-05	0.22388268	0.77609116
a31	1.5104642e-15	1.3121683e-16	4.718855e-14	1.0330585e-09	1.1164288e-05	0.1520453	0.84794354
a46	6.554148e-16	1.3263293e-16	4.5127872e-14	6.113539e-10	5.635802e-06	0.12947218	0.8705222
a8	2.7633819e-15	1.2368695e-16	4.4932147e-14	1.1197182e-09	1.3960817e-05	0.14691299	0.853073
</S>	1.312861e-15	5.693391e-17	1.731088e-14	5.405177e-10	5.5874993e-06	0.11677373	0.8832207
