 	non	mi	aspetti	non	vengo	</S>
a33	1.6624407e-06	7.937311e-06	6.045112e-06	0.18263288	0.46050125	0.35685024
a31	0.0015494064	0.00090364483	0.0010471268	0.31939983	0.5034729	0.17362711
a37	7.3276664e-05	1.3452312e-05	0.0015683462	0.757579	0.031056708	0.20970917
a35	3.0703134e-08	1.3515474e-07	4.870922e-05	0.5276023	0.10327856	0.36907017
a31	2.8389072e-08	1.2446422e-07	4.007503e-05	0.64942205	0.14787453	0.20266314
a7	1.5218287e-06	1.842625e-06	4.3417e-06	0.4166425	0.38876638	0.1945835
a18	1.6906556e-08	8.517385e-08	1.7976532e-05	0.041151896	0.6578247	0.3010054
a24	5.3960514e-10	7.562093e-10	1.5363179e-06	0.0032852376	0.60428	0.39243326
a31	2.0056854e-11	1.3528367e-12	4.7089804e-10	1.2039015e-06	0.01391259	0.98608625
a20	2.1888784e-13	1.6229647e-12	2.2153035e-11	3.438244e-07	0.038591426	0.96140826
a8	1.4290506e-11	7.559216e-13	2.9727871e-09	5.9710374e-06	0.031442422	0.9685516
a31	1.5376138e-14	6.5641747e-14	7.4639045e-11	1.24156e-06	0.043344565	0.9566542
</S>	3.2719436e-15	9.333424e-15	7.3134745e-12	1.8291841e-07	0.008098485	0.99190134
