 	l	ho	sentito	quando	veniva	</S>
a31	2.6453125e-07	8.89844e-06	5.050341e-05	0.90500814	0.07565189	0.019280259
a46	0.00045717813	0.0010691794	0.028828833	0.96203625	0.0066431444	0.0009654428
a41	7.455486e-10	3.7862915e-07	0.005732152	0.979294	0.0139047885	0.0010685916
a31	3.968573e-09	6.019453e-07	0.000572715	0.9511257	0.02475778	0.023543257
a24	2.232878e-06	5.153606e-05	0.0010292478	0.96074384	0.03452999	0.0036431586
a31	1.00653035e-10	6.3591536e-09	1.03095935e-07	0.9859477	0.01281316	0.0012388994
a15	5.5263545e-08	1.2745429e-06	1.1398978e-05	0.8244677	0.15922068	0.01629874
a46	4.5963004e-11	4.963018e-09	5.2620493e-08	0.95376474	0.045272853	0.0009623825
a31	2.4373893e-14	4.922805e-11	2.9456015e-08	0.4825789	0.5159987	0.0014223476
a0	4.0184e-15	1.6766681e-12	7.237669e-11	0.02407908	0.2666528	0.70926815
a41	5.625696e-13	3.9677147e-11	2.8682379e-09	0.04403875	0.23801233	0.71794885
</S>	4.9774644e-14	8.405558e-12	4.8316298e-09	0.020146819	0.1023943	0.87745893
