 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	1.0581111e-05	0.00010367676	0.0003439639	0.00067503337	0.007967294	0.02201157	0.02179688	0.94662017	0.00047094128
a13	0.0005084581	0.0019948275	0.00094767177	0.00946037	0.04558885	0.18938196	0.24238083	0.31016785	0.19956915
a0	3.7196378e-06	4.9627582e-05	0.000155618	0.073704354	0.20861928	0.14703032	0.07655055	0.32517868	0.1687078
a31	9.170822e-07	5.0525196e-05	0.00054513535	0.20689508	0.1785573	0.072081745	0.03962672	0.35462102	0.14762151
a18	3.2656533e-08	4.2030854e-07	3.714858e-06	0.000110135705	0.01779618	0.057206087	0.23125121	0.6489102	0.044721954
a31	6.775386e-11	7.655284e-09	4.6813895e-07	0.000759519	0.08116679	0.040200308	0.038598735	0.7771599	0.062114324
a28	1.14262814e-10	8.286108e-09	5.5599594e-07	2.5129805e-06	0.0020755238	0.03565887	0.3268956	0.5984893	0.03687764
a20	2.6133375e-14	1.6413527e-11	4.8797094e-08	1.0032807e-05	0.016993823	0.028920054	0.11446102	0.6892933	0.1503217
a31	3.7546406e-14	1.869479e-11	6.569299e-07	1.7060052e-06	0.010381844	0.023544567	0.13221169	0.5834872	0.25037226
a7	5.760862e-13	1.0702642e-09	6.436915e-05	0.00043281933	0.030495992	0.119763836	0.31676117	0.4171527	0.115329094
a38	3.9161897e-13	5.947533e-11	9.021105e-06	8.292212e-07	0.008058098	0.12713018	0.27000427	0.497386	0.09741152
a24	4.1588372e-14	3.1738966e-11	2.3998389e-06	1.8668543e-05	0.018830465	0.07748699	0.25026318	0.30782884	0.34556943
a46	7.652109e-15	2.5924232e-12	5.426036e-07	1.9485062e-08	0.0008024891	0.020508936	0.04448921	0.52079517	0.4134037
a31	5.609205e-15	1.4766017e-12	1.7426247e-07	2.0956115e-07	0.0023620713	0.028159726	0.07824047	0.3649464	0.52629095
a38	1.0779511e-14	3.2412651e-12	1.1047093e-06	1.3933612e-06	0.0019133476	0.061167885	0.04398061	0.6462915	0.24664415
a31	6.0093125e-14	3.8245906e-11	1.4906515e-06	1.2549606e-05	0.019734412	0.0634194	0.08956934	0.53708565	0.2901772
a13	7.50443e-15	2.9924485e-12	2.8713254e-07	1.0915178e-06	0.0015161894	0.02976744	0.01676017	0.68704164	0.26491326
a31	1.5284541e-13	1.4209649e-11	1.4965839e-06	1.6734407e-07	0.00462528	0.05128194	0.02032439	0.7175966	0.20617016
a8	3.1073044e-15	1.6851343e-12	3.2989494e-08	2.700876e-07	0.0004892731	0.008212402	0.0037142967	0.63696694	0.35061675
a20	5.5625627e-13	2.3545413e-10	2.1806737e-07	6.1244805e-06	0.0097829085	0.040403254	0.02598071	0.7876904	0.13613644
a31	1.05627245e-13	5.221339e-12	1.4753225e-07	5.926975e-09	0.00052617776	0.019375306	0.005424447	0.71596694	0.25870705
a15	4.717485e-16	1.040276e-13	1.7265476e-09	4.156801e-09	7.6478624e-05	0.0046142773	0.0020858622	0.5878243	0.40539902
a31	1.297968e-13	1.3912992e-11	8.591467e-08	3.5233963e-08	0.0024304346	0.030560058	0.008721219	0.77305967	0.18522847
a20	2.9289597e-15	1.4609494e-12	2.9615956e-09	2.7446255e-08	0.00012053072	0.0035588827	0.0014667201	0.4475459	0.5473079
a39	6.413757e-14	3.6183996e-12	5.526206e-08	3.2202347e-09	0.0003864078	0.016945222	0.0036173759	0.81441784	0.16463315
a31	4.0078157e-14	2.55576e-12	2.148786e-08	1.3545602e-09	0.0002926689	0.021346368	0.005492131	0.7112581	0.2616107
a8	7.9934033e-16	2.0259844e-13	8.695339e-10	1.748381e-09	5.236405e-05	0.0047880737	0.0021740394	0.48695782	0.50602776
a31	1.0514572e-13	3.0690905e-11	3.158171e-08	9.518913e-08	0.0014099043	0.042533897	0.01673563	0.7060772	0.23324324
a37	1.3352351e-15	4.2856032e-13	1.0190916e-09	2.5933877e-09	5.6534223e-05	0.00387487	0.0013178252	0.38389948	0.6108513
a20	1.5849648e-14	7.6342106e-13	2.400362e-08	2.0130757e-10	1.9583387e-05	0.0070966147	0.0017534357	0.6573463	0.33378407
a8	5.32544e-15	1.2202901e-13	1.0804927e-09	1.3416089e-11	1.7267765e-06	0.0038553965	0.0015506984	0.7625428	0.23204932
a20	1.2669776e-15	1.3016662e-13	8.335417e-10	2.6400102e-10	3.0323532e-05	0.0100510735	0.0058941366	0.6347766	0.34924784
a31	7.3373695e-15	1.0079436e-13	8.47423e-10	5.132547e-12	1.4996921e-07	0.0014278409	0.00082824595	0.73505336	0.2626904
</S>	1.5773092e-16	3.0594362e-15	2.9120664e-11	1.7580155e-12	1.073792e-06	0.0036477589	0.0018366318	0.64446366	0.35005096
