 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.0020379839	0.0036210385	0.0073734187	0.002510278	0.0068858378	0.024974482	0.91495854	0.037638433
a31	0.00060339813	0.003200497	0.22855969	0.546431	0.10343156	0.10689202	0.009735338	0.0011465383
a13	4.031518e-06	1.0478505e-05	0.002474141	0.025386319	0.32243153	0.6047471	0.03446343	0.010482963
a20	1.0569515e-05	0.00022606661	0.020927792	0.02739897	0.042340063	0.03442565	0.09268912	0.7819817
a15	4.675671e-05	0.0003728942	0.0010085119	0.0026729521	0.0073798103	0.0073527913	0.05488599	0.92628026
a20	3.474495e-05	0.00015963757	3.846099e-05	0.00014262652	0.0012946974	0.003961559	0.07595436	0.9184139
a31	0.0001395678	0.00012879545	4.468291e-06	1.1636769e-05	0.0004396706	0.0031564112	0.04678811	0.94933134
a39	2.6751792e-07	2.313108e-06	1.0283088e-06	1.7544917e-06	8.0362115e-05	0.0018352421	0.57919	0.41888905
a31	2.432115e-05	2.83716e-05	1.8210899e-06	1.4919377e-05	0.001233004	0.0060983724	0.4951011	0.4974981
a20	1.096084e-08	9.0893565e-08	2.0486686e-08	2.3802443e-08	3.8873864e-06	9.006036e-05	0.062078543	0.93782747
a31	8.369237e-06	9.3483e-06	5.289262e-07	2.1763751e-06	0.00060198567	0.0055971392	0.34121078	0.65256965
a7	1.888495e-08	1.3063315e-07	3.714841e-08	6.8726074e-08	7.784135e-06	0.00016699593	0.030513862	0.96931106
a46	2.4921826e-06	2.8947732e-06	2.2736648e-07	7.1968486e-07	0.00021996645	0.0026550815	0.101004116	0.89611447
a39	9.2775645e-07	3.118959e-06	9.1420003e-07	5.155194e-06	0.00045727773	0.0062775873	0.14103414	0.8522209
a31	8.957811e-06	1.0317253e-05	2.1356518e-06	3.614964e-06	0.0009029757	0.012014647	0.09715431	0.88990307
a46	2.0835182e-08	4.8885163e-08	2.4664928e-08	2.1552552e-07	0.000116967014	0.0022371009	0.034424122	0.96322143
a0	6.395653e-07	1.4351926e-06	6.477489e-07	4.294725e-06	0.00075023907	0.011088482	0.08981161	0.89834267
a27	8.659324e-06	9.40487e-06	2.2908955e-06	2.4409396e-06	0.0003851177	0.005668294	0.038093444	0.95583034
a20	7.640625e-06	7.521157e-06	1.5835556e-06	1.3006495e-06	0.00014366514	0.001857562	0.018001389	0.9799794
a0	7.898112e-06	8.469575e-06	1.8924761e-06	1.7456867e-06	0.00024020507	0.0036670417	0.021635288	0.97443753
a14	1.2505133e-05	1.2827371e-05	2.587485e-06	2.424538e-06	0.0003157258	0.0050971555	0.027113201	0.96744365
a0	6.38455e-05	5.0347728e-05	8.726233e-06	6.7242627e-06	0.00048240292	0.0058579044	0.03068506	0.9628449
a46	1.5745125e-05	1.4796805e-05	2.2592458e-06	1.8776323e-06	0.00021028866	0.0034229758	0.022937728	0.9733944
a20	7.6391643e-07	1.515175e-06	3.8057888e-07	1.5071104e-06	0.00022240517	0.0035268092	0.034910884	0.9613357
</S>	0.00050212885	0.0003355715	6.353533e-05	4.8115704e-05	0.0019545583	0.022324119	0.060793612	0.9139783
